Epoch,Train_x0_L1,Val_x0_L1,Val_TACOs_Reconstruct_L1
1,1.278243,0.978969,N/A
2,0.866097,0.790603,N/A
3,0.758091,0.730207,N/A
4,0.721471,0.715066,N/A
5,0.706280,0.701593,1.269669
6,0.698304,0.695821,N/A
7,0.692363,0.695919,N/A
8,0.687316,0.686202,N/A
9,0.684005,0.685443,N/A
10,0.681070,0.681251,1.262786
11,0.678435,0.685845,N/A
12,0.676490,0.679352,N/A
13,0.673775,0.672589,N/A
14,0.673030,0.679719,N/A
15,0.670638,0.673908,1.261665
16,0.669107,0.669767,N/A
17,0.667203,0.667288,N/A
18,0.666001,0.672598,N/A
19,0.664731,0.664787,N/A
20,0.662596,0.668590,1.259533
21,0.662110,0.668882,N/A
22,0.660963,0.660010,N/A
23,0.660133,0.666678,N/A
24,0.658942,0.662790,N/A
25,0.657321,0.660142,1.258456
26,0.657128,0.663765,N/A
27,0.656199,0.658155,N/A
28,0.654690,0.660157,N/A
29,0.654010,0.663453,N/A
30,0.652828,0.658001,1.258768
31,0.651962,0.652855,N/A
32,0.651621,0.656215,N/A
33,0.651176,0.660047,N/A
34,0.649782,0.653850,N/A
35,0.649196,0.660752,1.257750
36,0.647514,0.658049,N/A
37,0.647075,0.650267,N/A
38,0.646978,0.649407,N/A
39,0.646130,0.647044,N/A
40,0.645154,0.653906,1.257193
41,0.644627,0.651040,N/A
42,0.643541,0.646366,N/A
43,0.643216,0.652077,N/A
44,0.643025,0.643832,N/A
45,0.642469,0.647991,1.257120
46,0.641685,0.644313,N/A
47,0.641293,0.643098,N/A
48,0.640097,0.648928,N/A
49,0.639613,0.651180,N/A
50,0.639272,0.647796,1.255597
