Epoch,Train_Loss,Val_Loss
1,1.381653,1.249089
2,1.191197,1.163864
3,1.138696,1.135205
4,1.114747,1.118271
5,1.098746,1.107730
6,1.085406,1.098314
7,1.073364,1.092045
8,1.062765,1.088086
9,1.053427,1.084046
10,1.043384,1.080576
11,1.035185,1.077499
12,1.027739,1.076471
13,1.019861,1.074848
14,1.012213,1.074974
15,1.005499,1.073034
16,0.999487,1.072651
17,0.992786,1.072405
18,0.987051,1.071565
19,0.981192,1.072366
20,0.975642,1.071847
21,0.971186,1.071147
22,0.965376,1.071114
23,0.960648,1.070941
24,0.955849,1.072526
25,0.952039,1.070955
26,0.946964,1.072612
27,0.942606,1.073502
28,0.939264,1.073568
29,0.934820,1.073552
30,0.930630,1.073732
31,0.927033,1.074572
32,0.923115,1.074122
33,0.920138,1.074053
34,0.916447,1.077028
35,0.912405,1.076378
36,0.909361,1.075755
37,0.907730,1.074758
38,0.902755,1.078050
39,0.900501,1.079172
40,0.897422,1.079130
41,0.893810,1.080106
42,0.892363,1.078006
43,0.887919,1.080721
44,0.889036,1.079804
45,0.881812,1.082370
46,0.881344,1.080662
47,0.877742,1.082359
48,0.874793,1.083882
49,0.873460,1.082574
50,0.870631,1.083283
