Epoch,Train_Loss,Val_Loss
1,1.387308,1.226220
2,1.167584,1.134572
3,1.118681,1.111106
4,1.101990,1.102087
5,1.091083,1.093446
6,1.079663,1.083950
7,1.069875,1.079228
8,1.059059,1.075707
9,1.049182,1.070967
10,1.039392,1.068009
11,1.028418,1.066278
12,1.018084,1.066869
13,1.008009,1.066188
14,0.998957,1.064472
15,0.988759,1.065395
16,0.979434,1.067102
17,0.970433,1.067583
18,0.961921,1.069083
19,0.953514,1.069807
20,0.945741,1.071268
21,0.937801,1.072877
22,0.929804,1.075710
23,0.922905,1.077359
24,0.915515,1.078392
25,0.909325,1.080564
26,0.902307,1.082516
27,0.896706,1.084957
28,0.889929,1.087163
29,0.884130,1.089068
30,0.879240,1.090162
31,0.873156,1.092620
32,0.868071,1.095140
33,0.862689,1.096851
34,0.858047,1.097055
35,0.852975,1.100042
36,0.848608,1.102574
37,0.843924,1.103567
38,0.839542,1.105388
39,0.834934,1.106938
40,0.831388,1.108327
41,0.827680,1.110605
42,0.823249,1.112217
43,0.820000,1.112587
44,0.815705,1.114450
45,0.812385,1.116251
46,0.808620,1.117908
47,0.805341,1.119427
48,0.801588,1.121028
49,0.799044,1.122442
50,0.795441,1.124568
