Epoch,Total_Loss,Base_L1,Repulsion_Loss,Cycle_Loss,Val_Loss
1,1.816325,1.422914,0.006159,0.390331,1.626951
2,1.545158,1.304306,0.010444,0.235630,1.473365
3,1.388972,1.218916,0.005606,0.167253,1.332995
4,1.299076,1.179627,0.002288,0.118305,1.284222
5,1.264901,1.165281,0.001619,0.098811,1.260547
6,1.245269,1.156032,0.001497,0.088488,1.245490
7,1.230698,1.148425,0.001423,0.081561,1.233701
8,1.218756,1.141416,0.001300,0.076691,1.224166
9,1.209016,1.135500,0.001482,0.072775,1.216536
10,1.199409,1.129317,0.001265,0.069460,1.209945
11,1.190608,1.123068,0.001185,0.066947,1.204207
12,1.183101,1.117520,0.001435,0.064863,1.200982
13,1.176095,1.112571,0.001270,0.062889,1.195294
14,1.168995,1.106945,0.001503,0.061299,1.192647
15,1.163130,1.102528,0.001326,0.059939,1.189252
16,1.157110,1.097838,0.001316,0.058614,1.186239
17,1.150870,1.092578,0.001590,0.057497,1.183562
18,1.145196,1.088074,0.001276,0.056484,1.181547
19,1.139831,1.083578,0.001384,0.055561,1.179471
20,1.134352,1.078845,0.001268,0.054874,1.177594
21,1.129228,1.074606,0.001333,0.053956,1.175201
22,1.124719,1.070574,0.001371,0.053459,1.173371
23,1.120124,1.066556,0.001641,0.052747,1.173769
24,1.114989,1.062012,0.001432,0.052261,1.172170
25,1.110651,1.058001,0.001732,0.051784,1.170835
26,1.105799,1.053864,0.001349,0.051261,1.169516
27,1.100657,1.049173,0.001389,0.050789,1.169349
28,1.096446,1.045109,0.001442,0.050617,1.167502
29,1.093320,1.042614,0.001432,0.049990,1.166823
30,1.088017,1.037767,0.001569,0.049465,1.165463
31,1.084314,1.034480,0.001484,0.049092,1.165436
32,1.080603,1.030952,0.001427,0.048938,1.164482
33,1.075708,1.026623,0.001540,0.048315,1.164831
34,1.073672,1.024869,0.001720,0.047943,1.165249
35,1.068594,1.020203,0.001444,0.047669,1.163553
36,1.065598,1.017362,0.001529,0.047472,1.163476
37,1.061477,1.013487,0.001586,0.047197,1.161936
38,1.058342,1.010627,0.001563,0.046933,1.163633
39,1.054958,1.007803,0.001455,0.046427,1.164536
40,1.051878,1.004797,0.001670,0.046246,1.162483
41,1.048543,1.001643,0.001628,0.046085,1.162139
42,1.046375,0.999929,0.001525,0.045683,1.161606
43,1.041538,0.995295,0.001496,0.045495,1.161114
44,1.039327,0.993471,0.001489,0.045111,1.162575
45,1.035449,0.989691,0.001608,0.044954,1.162887
46,1.033501,0.988063,0.001517,0.044679,1.163668
47,1.030635,0.985155,0.001705,0.044627,1.160636
48,1.027898,0.982813,0.001646,0.044262,1.161501
49,1.023919,0.979035,0.001713,0.044027,1.162096
50,1.022660,0.978078,0.001467,0.043849,1.162395
