Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.593031,0.426035,N/A
2,0.358266,0.316157,N/A
3,0.303090,0.292354,N/A
4,0.287266,0.284685,N/A
5,0.280606,0.279798,1.160987
6,0.277404,0.277326,N/A
7,0.275184,0.276715,N/A
8,0.273471,0.274531,N/A
9,0.272626,0.273674,N/A
10,0.271248,0.272809,1.151455
11,0.270269,0.271009,N/A
12,0.269258,0.271476,N/A
13,0.268260,0.269644,N/A
14,0.267480,0.265779,N/A
15,0.265632,0.268392,1.145631
16,0.264717,0.269362,N/A
17,0.263187,0.266969,N/A
18,0.261368,0.267888,N/A
19,0.260603,0.263940,N/A
20,0.258966,0.266678,1.138964
21,0.258056,0.269436,N/A
22,0.256572,0.266445,N/A
23,0.255540,0.264006,N/A
24,0.254398,0.266223,N/A
25,0.253098,0.264137,1.144280
26,0.252561,0.264447,N/A
27,0.251072,0.267991,N/A
28,0.250149,0.269219,N/A
29,0.249045,0.270711,N/A
30,0.248195,0.269328,1.142730
31,0.247224,0.270172,N/A
32,0.246308,0.271696,N/A
33,0.245508,0.269572,N/A
34,0.244424,0.271215,N/A
35,0.243506,0.271453,1.149934
36,0.242990,0.270153,N/A
37,0.241774,0.272923,N/A
38,0.241004,0.271157,N/A
39,0.240628,0.273121,N/A
40,0.239762,0.276152,1.150156
41,0.238604,0.274382,N/A
42,0.238047,0.274889,N/A
43,0.237462,0.272796,N/A
44,0.236678,0.271585,N/A
45,0.235968,0.276150,1.152905
46,0.235515,0.278297,N/A
47,0.234681,0.274840,N/A
48,0.234131,0.276262,N/A
49,0.233633,0.279172,N/A
50,0.232999,0.277632,1.157399
