Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.582170,0.423665,N/A
2,0.358488,0.326909,N/A
3,0.304721,0.299456,N/A
4,0.289848,0.288658,N/A
5,0.283622,0.280525,1.156528
6,0.280281,0.280701,N/A
7,0.277748,0.277071,N/A
8,0.275927,0.276582,N/A
9,0.274003,0.274086,N/A
10,0.272636,0.271223,1.143559
11,0.270754,0.270690,N/A
12,0.269228,0.270060,N/A
13,0.267979,0.270326,N/A
14,0.266451,0.269024,N/A
15,0.264673,0.268486,1.125762
16,0.263578,0.268096,N/A
17,0.262114,0.267372,N/A
18,0.261024,0.268070,N/A
19,0.259931,0.265504,N/A
20,0.258930,0.266933,1.118769
21,0.257302,0.266086,N/A
22,0.256458,0.263328,N/A
23,0.255334,0.269049,N/A
24,0.254221,0.264998,N/A
25,0.253232,0.265893,1.117898
26,0.252621,0.265130,N/A
27,0.251111,0.265388,N/A
28,0.250455,0.265118,N/A
29,0.249608,0.266320,N/A
30,0.248628,0.263264,1.115034
31,0.247820,0.267309,N/A
32,0.246985,0.265669,N/A
33,0.246444,0.265954,N/A
34,0.245162,0.267729,N/A
35,0.244496,0.264247,1.117156
36,0.243644,0.265156,N/A
37,0.243205,0.270673,N/A
38,0.242486,0.268650,N/A
39,0.241671,0.269249,N/A
40,0.241035,0.267326,1.116628
41,0.240315,0.269825,N/A
42,0.239497,0.268556,N/A
43,0.239230,0.271611,N/A
44,0.238246,0.268872,N/A
45,0.237833,0.270051,1.120886
46,0.236953,0.270109,N/A
47,0.236855,0.270101,N/A
48,0.235713,0.270789,N/A
49,0.235248,0.272449,N/A
50,0.234786,0.273950,1.122603
