Epoch,Train_Total_Loss,Train_Recon_L1,Train_Cos_MSE,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.682770,0.666677,0.016093,0.571078,N/A
2,0.449456,0.444998,0.004458,0.378647,N/A
3,0.344531,0.342275,0.002256,0.329588,N/A
4,0.316938,0.314660,0.002278,0.311902,N/A
5,0.308228,0.306117,0.002110,0.305037,1.272955
6,0.304141,0.301995,0.002146,0.301469,N/A
7,0.301681,0.299526,0.002156,0.301782,N/A
8,0.299506,0.297315,0.002191,0.299972,N/A
9,0.298217,0.296152,0.002065,0.299070,N/A
10,0.297365,0.295378,0.001987,0.299693,1.272260
11,0.296818,0.294856,0.001962,0.298346,N/A
12,0.295474,0.293504,0.001970,0.294910,N/A
13,0.295168,0.293041,0.002127,0.294704,N/A
14,0.294308,0.292470,0.001838,0.293812,N/A
15,0.293565,0.291477,0.002088,0.292824,1.255327
16,0.292169,0.290258,0.001911,0.295333,N/A
17,0.290917,0.289012,0.001905,0.293246,N/A
18,0.290461,0.288560,0.001902,0.295514,N/A
19,0.288821,0.286918,0.001902,0.292466,N/A
20,0.288115,0.286201,0.001914,0.290985,1.248659
21,0.287138,0.285302,0.001835,0.291515,N/A
22,0.286258,0.284333,0.001925,0.290027,N/A
23,0.285101,0.283284,0.001816,0.288253,N/A
24,0.283876,0.282006,0.001870,0.289321,N/A
25,0.283307,0.281429,0.001878,0.286627,1.236284
26,0.282185,0.280386,0.001799,0.290326,N/A
27,0.281079,0.279246,0.001833,0.285253,N/A
28,0.280478,0.278569,0.001909,0.286984,N/A
29,0.279576,0.277750,0.001827,0.284949,N/A
30,0.278802,0.276996,0.001806,0.288453,1.217709
31,0.277600,0.275774,0.001825,0.287303,N/A
32,0.277044,0.275258,0.001786,0.286404,N/A
33,0.275999,0.274200,0.001799,0.286385,N/A
34,0.275620,0.273828,0.001793,0.286289,N/A
35,0.274668,0.272841,0.001827,0.287337,1.212347
36,0.273979,0.272153,0.001826,0.281993,N/A
37,0.273237,0.271459,0.001778,0.286685,N/A
38,0.272395,0.270590,0.001805,0.284748,N/A
39,0.271503,0.269727,0.001776,0.284565,N/A
40,0.271307,0.269490,0.001818,0.283309,1.198135
41,0.270544,0.268791,0.001753,0.289037,N/A
42,0.269652,0.267821,0.001832,0.285918,N/A
43,0.269429,0.267655,0.001774,0.285610,N/A
44,0.268434,0.266682,0.001752,0.285832,N/A
45,0.268113,0.266368,0.001745,0.286680,1.189306
46,0.267304,0.265505,0.001798,0.285506,N/A
47,0.266569,0.264799,0.001770,0.284808,N/A
48,0.266312,0.264561,0.001752,0.284828,N/A
49,0.265683,0.263909,0.001774,0.284870,N/A
50,0.265032,0.263234,0.001799,0.286125,1.187313
