Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.452194,1.310261,1.335075,N/A
2,1.229062,1.182195,1.227748,N/A
3,1.151158,1.129071,1.190378,N/A
4,1.124088,1.126973,1.183287,N/A
5,1.112384,1.108204,1.169181,N/A
6,1.105929,1.105301,1.166079,N/A
7,1.101057,1.099971,1.161310,N/A
8,1.097998,1.092310,1.158171,N/A
9,1.094187,1.090298,1.155364,N/A
10,1.089084,1.089408,1.153459,N/A
11,1.084255,1.085333,1.149601,N/A
12,1.080446,1.082278,1.145520,N/A
13,1.075400,1.079434,1.145930,N/A
14,1.070606,1.074855,1.141618,N/A
15,1.065581,1.071123,1.137668,N/A
16,1.061116,1.068192,1.136855,N/A
17,1.056693,1.063090,1.133899,N/A
18,1.051665,1.064874,1.132296,N/A
19,1.047424,1.058155,1.129265,N/A
20,1.043547,1.059735,1.128266,N/A
21,1.039544,1.060063,1.127451,N/A
22,1.036168,1.058637,1.125565,N/A
23,1.031625,1.058428,1.123345,N/A
24,1.027358,1.057959,1.125014,N/A
25,1.024246,1.053815,1.122610,1.107705
26,1.020472,1.054347,1.121077,N/A
27,1.016072,1.056086,1.120803,N/A
28,1.013726,1.054244,1.118673,N/A
29,1.010716,1.053285,1.118991,N/A
30,1.006484,1.048681,1.117452,N/A
31,1.003444,1.051259,1.115897,N/A
32,1.000913,1.050913,1.115673,N/A
33,0.997161,1.049614,1.115333,N/A
34,0.994460,1.054089,1.115443,N/A
35,0.990840,1.053444,1.115447,N/A
36,0.988694,1.055559,1.114254,N/A
37,0.986189,1.048359,1.113027,N/A
38,0.983307,1.052894,1.113542,N/A
39,0.980774,1.051368,1.113978,N/A
40,0.977499,1.052975,1.112039,N/A
41,0.976230,1.050970,1.112105,N/A
42,0.973214,1.051393,1.111472,N/A
43,0.970697,1.051531,1.111896,N/A
44,0.968064,1.053710,1.110429,N/A
45,0.965515,1.054297,1.112061,N/A
46,0.964308,1.054868,1.112307,N/A
47,0.960979,1.053093,1.111414,N/A
48,0.959202,1.055474,1.111007,N/A
49,0.956686,1.051778,1.110380,N/A
50,0.955231,1.052946,1.109289,1.093121
51,0.953001,1.054066,1.111343,N/A
52,0.950691,1.052697,1.109265,N/A
53,0.948355,1.056514,1.111130,N/A
54,0.946894,1.058783,1.110453,N/A
55,0.944971,1.054909,1.109530,N/A
56,0.942560,1.057547,1.109816,N/A
57,0.940950,1.057780,1.109456,N/A
