Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.581322,0.421862,N/A
2,0.359976,0.326872,N/A
3,0.305857,0.300398,N/A
4,0.291186,0.289167,N/A
5,0.285283,0.285194,1.170370
6,0.281804,0.280479,N/A
7,0.280047,0.280920,N/A
8,0.278356,0.278893,N/A
9,0.277016,0.276458,N/A
10,0.276264,0.276238,1.161359
11,0.275919,0.281578,N/A
12,0.274817,0.276097,N/A
13,0.273890,0.274753,N/A
14,0.272528,0.276597,N/A
15,0.271856,0.273153,1.163407
16,0.270138,0.271096,N/A
17,0.268625,0.270832,N/A
18,0.267592,0.269645,N/A
19,0.266208,0.272340,N/A
20,0.264840,0.272788,1.154096
21,0.263445,0.268974,N/A
22,0.262372,0.272184,N/A
23,0.261050,0.268885,N/A
24,0.260048,0.266222,N/A
25,0.258458,0.269502,1.157490
26,0.257264,0.270333,N/A
27,0.256298,0.269538,N/A
28,0.255330,0.270742,N/A
29,0.254397,0.273065,N/A
30,0.253316,0.270693,1.163506
31,0.252244,0.272430,N/A
32,0.250921,0.271141,N/A
33,0.250497,0.271630,N/A
34,0.249286,0.273524,N/A
35,0.248597,0.274170,1.162684
36,0.247871,0.273099,N/A
37,0.246944,0.273621,N/A
38,0.246065,0.276739,N/A
39,0.245009,0.278972,N/A
40,0.244363,0.276519,1.166104
41,0.243543,0.277350,N/A
42,0.243064,0.276971,N/A
43,0.242192,0.275832,N/A
44,0.241351,0.278394,N/A
45,0.240905,0.276131,1.169910
46,0.240247,0.278280,N/A
47,0.239464,0.280176,N/A
48,0.238942,0.280802,N/A
49,0.238293,0.278299,N/A
50,0.237827,0.277769,1.172239
