Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.333678,1.161774,1.217414,N/A
2,1.119289,1.093336,1.167263,N/A
3,1.086427,1.080521,1.153746,N/A
4,1.073427,1.077597,1.148844,N/A
5,1.064972,1.066491,1.138667,N/A
6,1.056370,1.059890,1.133433,N/A
7,1.048183,1.055069,1.128099,N/A
8,1.040010,1.051813,1.122715,N/A
9,1.032238,1.050569,1.120422,N/A
10,1.025239,1.044786,1.118453,N/A
11,1.018239,1.041085,1.111159,N/A
12,1.011310,1.042544,1.111707,N/A
13,1.005028,1.043084,1.109077,N/A
14,0.998807,1.044777,1.107543,N/A
15,0.993453,1.039581,1.102730,N/A
16,0.987639,1.038812,1.100938,N/A
17,0.981929,1.039854,1.099911,N/A
18,0.977737,1.037333,1.095778,N/A
19,0.972360,1.037393,1.096116,N/A
20,0.967756,1.043696,1.097559,N/A
21,0.963865,1.039212,1.093010,N/A
22,0.958862,1.039001,1.091527,N/A
23,0.954896,1.038380,1.091742,N/A
24,0.950741,1.043678,1.091811,N/A
25,0.946990,1.043499,1.092349,1.085075
26,0.943056,1.043703,1.091956,N/A
27,0.939521,1.043048,1.090702,N/A
28,0.935566,1.053992,1.092930,N/A
29,0.932902,1.046813,1.087200,N/A
30,0.928514,1.050457,1.088118,N/A
31,0.925206,1.056721,1.089290,N/A
32,0.922506,1.048273,1.089135,N/A
33,0.919229,1.053795,1.087874,N/A
34,0.916372,1.051924,1.086278,N/A
35,0.913066,1.050492,1.085385,N/A
36,0.910278,1.060911,1.087298,N/A
37,0.907335,1.057062,1.088239,N/A
38,0.904944,1.061625,1.082353,N/A
