Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.450548,1.303488,1.334091,N/A
2,1.219983,1.163626,1.223894,N/A
3,1.138393,1.121267,1.194569,N/A
4,1.110879,1.105802,1.181270,N/A
5,1.100578,1.100927,1.177294,N/A
6,1.093414,1.092456,1.170190,N/A
7,1.088642,1.086627,1.167172,N/A
8,1.085375,1.080677,1.164461,N/A
9,1.080494,1.080117,1.162150,N/A
10,1.076810,1.075011,1.159965,N/A
11,1.073658,1.071454,1.156616,N/A
12,1.069620,1.074427,1.154799,N/A
13,1.065079,1.072581,1.153322,N/A
14,1.061115,1.067560,1.151483,N/A
15,1.056684,1.066472,1.149764,N/A
16,1.051333,1.061955,1.147507,N/A
17,1.047100,1.063366,1.147231,N/A
18,1.042023,1.060437,1.144764,N/A
19,1.038959,1.059600,1.144123,N/A
20,1.034495,1.061237,1.142094,N/A
21,1.030165,1.053576,1.141288,N/A
22,1.026422,1.057289,1.138713,N/A
23,1.021808,1.057730,1.140116,N/A
24,1.018004,1.057259,1.138312,N/A
25,1.014353,1.055517,1.137585,1.117504
26,1.010001,1.059157,1.137935,N/A
27,1.007146,1.053595,1.135942,N/A
28,1.002818,1.059987,1.136000,N/A
29,1.000272,1.056684,1.135893,N/A
30,0.995862,1.056012,1.132667,N/A
31,0.993652,1.056587,1.134151,N/A
32,0.989107,1.058824,1.134235,N/A
33,0.986851,1.060114,1.134071,N/A
34,0.983623,1.059397,1.131978,N/A
35,0.980421,1.061601,1.132463,N/A
36,0.977633,1.064299,1.133948,N/A
37,0.974512,1.060528,1.132468,N/A
38,0.971866,1.056112,1.131633,N/A
39,0.968800,1.063401,1.132844,N/A
40,0.966530,1.062596,1.130693,N/A
41,0.963592,1.062441,1.130670,N/A
