Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,4.022274,2.247877,2.223764,N/A
2,2.216405,2.175549,2.149067,N/A
3,2.152677,2.104358,2.075556,N/A
4,2.032352,1.931623,1.885729,N/A
5,1.861278,1.802216,1.756191,N/A
6,1.777801,1.748253,1.702708,N/A
7,1.717822,1.695032,1.659844,N/A
8,1.657407,1.645284,1.601876,N/A
9,1.616074,1.600129,1.563174,N/A
10,1.583310,1.574977,1.526375,N/A
11,1.542789,1.539826,1.500646,N/A
12,1.491686,1.533405,1.475954,N/A
13,1.461303,1.476969,1.435384,N/A
14,1.431819,1.467028,1.427858,N/A
15,1.405001,1.449997,1.418175,N/A
16,1.375958,1.425277,1.400798,N/A
17,1.352973,1.429117,1.407675,N/A
18,1.334043,1.414698,1.411007,N/A
19,1.313858,1.366533,1.369343,N/A
20,1.300209,1.391374,1.388459,N/A
21,1.293292,1.368885,1.376527,N/A
22,1.274410,1.382533,1.387292,N/A
23,1.265751,1.389902,1.381034,N/A
24,1.260256,1.344000,1.356347,N/A
25,1.255626,1.368545,1.384514,1.338403
26,1.242946,1.362380,1.360028,N/A
27,1.237477,1.369147,1.374611,N/A
28,1.234474,1.341551,1.346523,N/A
29,1.230985,1.361427,1.370940,N/A
30,1.225022,1.346579,1.351669,N/A
31,1.219515,1.346832,1.348988,N/A
32,1.219159,1.383292,1.369742,N/A
33,1.215137,1.349652,1.357374,N/A
34,1.212424,1.333540,1.335069,N/A
35,1.217536,1.347643,1.351806,N/A
36,1.205878,1.363757,1.363531,N/A
37,1.206777,1.355256,1.358126,N/A
38,1.203773,1.351697,1.337891,N/A
39,2.903775,2.146215,2.103610,N/A
40,2.072059,1.829774,1.796071,N/A
41,1.741236,1.656358,1.665407,N/A
42,1.563971,1.507087,1.506824,N/A
43,1.465725,1.453043,1.472106,N/A
44,1.417145,1.408778,1.414448,N/A
45,1.402729,1.388788,1.397642,N/A
46,1.347738,1.371148,1.390389,N/A
47,1.298577,1.363374,1.373297,N/A
48,1.261046,1.367563,1.366432,N/A
49,1.252987,1.384067,1.372354,N/A
50,1.236245,1.370504,1.359051,1.332731
51,1.231510,1.370494,1.356452,N/A
52,1.224221,1.363259,1.353707,N/A
53,1.221504,1.350984,1.359371,N/A
54,1.215379,1.369349,1.364977,N/A
