Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.432715,1.254394,2.642161,N/A
2,1.176044,1.167806,7.022834,N/A
3,1.110872,1.105024,1.604131,N/A
4,1.092045,1.089822,1.562987,N/A
5,1.084384,1.082015,1.551236,N/A
6,1.078388,1.078718,1.475391,N/A
7,1.072777,1.076660,1.668003,N/A
8,1.067370,1.067438,1.608562,N/A
9,1.060914,1.066604,1.489609,N/A
10,1.055132,1.067102,2.030365,N/A
11,1.049884,1.060151,1.419990,N/A
12,1.043987,1.052378,1.388653,N/A
13,1.039637,1.048248,1.470582,N/A
14,1.033903,1.042225,1.390682,N/A
15,1.028930,1.040224,1.393215,N/A
16,1.024020,1.039210,1.832349,N/A
17,1.019782,1.038441,1.501937,N/A
18,1.014843,1.037296,1.349893,N/A
19,1.011130,1.035535,1.364972,N/A
20,1.006412,1.029552,1.374053,N/A
21,1.002558,1.024200,1.651680,N/A
22,0.999045,1.028492,1.377741,N/A
23,0.994590,1.020633,1.329566,N/A
24,0.990994,1.024332,1.419573,N/A
25,0.987820,1.024170,1.316791,1.077713
26,0.984153,1.030134,2.219452,N/A
27,0.981783,1.025188,1.379481,N/A
28,0.978692,1.022522,1.461328,N/A
29,0.974961,1.020501,1.668974,N/A
30,0.971752,1.016951,1.600522,N/A
31,0.968784,1.017388,1.315356,N/A
32,0.965694,1.013539,1.403830,N/A
33,0.963044,1.017837,1.353028,N/A
34,0.960886,1.014257,1.289084,N/A
35,0.957573,1.017793,1.286295,N/A
36,0.955016,1.019986,2.360846,N/A
37,0.953184,1.015540,1.294383,N/A
38,0.949789,1.012278,1.597863,N/A
39,0.947468,1.013268,1.510276,N/A
40,0.945231,1.017870,1.435843,N/A
41,0.943309,1.017827,1.615417,N/A
42,0.941190,1.014818,1.288364,N/A
43,0.938599,1.017956,1.296115,N/A
44,0.936455,1.014689,1.688444,N/A
45,0.935104,1.012722,1.298018,N/A
46,0.932108,1.014153,1.290908,N/A
47,0.930578,1.019051,1.931417,N/A
48,0.929217,1.016696,1.292983,N/A
49,0.926436,1.014521,1.326161,N/A
50,0.924434,1.012559,1.320716,1.050587
51,0.923049,1.023477,1.919317,N/A
52,0.921842,1.014188,1.276409,N/A
53,0.918720,1.014171,1.310967,N/A
54,0.917155,1.015568,1.287834,N/A
55,0.915418,1.017371,1.274827,N/A
56,0.914266,1.013188,1.283575,N/A
57,0.912183,1.018221,1.265439,N/A
58,0.909655,1.016754,1.339748,N/A
