Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.810202,0.768679,N/A
2,0.754836,0.736798,N/A
3,0.724258,0.709103,N/A
4,0.696980,0.683475,N/A
5,0.669452,0.657701,0.038986
6,0.641837,0.631127,N/A
7,0.613181,0.602567,N/A
8,0.583742,0.574945,N/A
9,0.553146,0.548349,N/A
10,0.525884,0.517892,0.038275
11,0.499298,0.493104,N/A
12,0.476690,0.477654,N/A
13,0.458332,0.455484,N/A
14,0.438333,0.443098,N/A
15,0.424340,0.427763,0.037946
16,0.406850,0.413689,N/A
17,0.396731,0.403371,N/A
18,0.385974,0.391193,N/A
19,0.371767,0.379061,N/A
20,0.360073,0.376809,0.038371
21,0.355205,0.363993,N/A
22,0.346202,0.361333,N/A
23,0.335818,0.346211,N/A
24,0.327647,0.338822,N/A
25,0.319629,0.345341,0.038627
26,0.319092,0.332495,N/A
27,0.309761,0.325574,N/A
28,0.302461,0.317588,N/A
29,0.293887,0.312027,N/A
30,0.297724,0.309886,0.037361
31,0.287600,0.303538,N/A
32,0.283230,0.296022,N/A
33,0.277451,0.297432,N/A
34,0.272974,0.294091,N/A
35,0.271748,0.295872,0.038143
36,0.268577,0.285839,N/A
37,0.261489,0.280329,N/A
38,0.256347,0.280257,N/A
39,0.254458,0.274970,N/A
40,0.253120,0.278087,0.038210
41,0.252859,0.270457,N/A
42,0.247697,0.267845,N/A
43,0.242245,0.266424,N/A
44,0.236922,0.262681,N/A
45,0.236760,0.263277,0.037728
46,0.234715,0.259287,N/A
47,0.236125,0.255337,N/A
48,0.229046,0.259037,N/A
49,0.229656,0.252018,N/A
50,0.223849,0.248507,0.037387
