Epoch,Train_L1,Val_Cheap_L1,Val_TACOs_Reconstruct_L1
1,0.754513,0.696145,N/A
2,0.650154,0.602835,N/A
3,0.549558,0.506073,N/A
4,0.464475,0.439068,N/A
5,0.408466,0.389853,0.037948
6,0.371144,0.359909,N/A
7,0.339163,0.341195,N/A
8,0.318261,0.317925,N/A
9,0.299425,0.306140,N/A
10,0.284512,0.291373,0.037815
11,0.273342,0.280855,N/A
12,0.259075,0.270632,N/A
13,0.249625,0.261281,N/A
14,0.240448,0.247074,N/A
15,0.234376,0.238060,0.036627
16,0.224010,0.237600,N/A
17,0.220386,0.226674,N/A
18,0.212714,0.233593,N/A
19,0.205743,0.224204,N/A
20,0.203730,0.211374,0.036470
21,0.197173,0.215501,N/A
22,0.193643,0.208089,N/A
23,0.191045,0.209248,N/A
24,0.184116,0.199067,N/A
25,0.181833,0.203510,0.037056
26,0.179545,0.199203,N/A
27,0.173465,0.194974,N/A
28,0.173786,0.197096,N/A
29,0.169532,0.188056,N/A
30,0.167935,0.194098,0.036828
31,0.164123,0.187066,N/A
32,0.162553,0.183210,N/A
33,0.160294,0.187440,N/A
34,0.156294,0.177720,N/A
35,0.155771,0.179924,0.036308
36,0.153881,0.174412,N/A
37,0.149880,0.178096,N/A
38,0.150562,0.175568,N/A
39,0.147681,0.170196,N/A
40,0.145617,0.170497,0.036286
41,0.144408,0.167298,N/A
42,0.143338,0.165651,N/A
43,0.142053,0.165549,N/A
44,0.139663,0.165266,N/A
45,0.138644,0.162408,0.035881
46,0.137545,0.165877,N/A
47,0.135426,0.161854,N/A
48,0.132333,0.161700,N/A
49,0.132683,0.163917,N/A
50,0.130815,0.157144,0.035921
