Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.611976,0.477553,N/A
2,0.433162,0.410655,N/A
3,0.399136,0.397205,N/A
4,0.390803,0.388175,N/A
5,0.387956,0.389028,1.146410
6,0.386439,0.386831,N/A
7,0.385228,0.388001,N/A
8,0.384243,0.384661,N/A
9,0.383695,0.382230,N/A
10,0.382973,0.382356,1.138154
11,0.381805,0.381811,N/A
12,0.380201,0.385549,N/A
13,0.378040,0.380722,N/A
14,0.376657,0.379572,N/A
15,0.374477,0.379451,1.122367
16,0.372444,0.378960,N/A
17,0.371084,0.375199,N/A
18,0.368865,0.376232,N/A
19,0.367711,0.374744,N/A
20,0.366078,0.373405,1.100573
21,0.364377,0.370826,N/A
22,0.362524,0.372570,N/A
23,0.361045,0.371809,N/A
24,0.359938,0.368598,N/A
25,0.358619,0.371330,1.084474
26,0.357082,0.369276,N/A
27,0.356171,0.369980,N/A
28,0.354821,0.369201,N/A
29,0.353401,0.367884,N/A
30,0.352734,0.367678,1.076185
31,0.351464,0.366725,N/A
32,0.350593,0.367847,N/A
33,0.349385,0.365835,N/A
34,0.348512,0.370683,N/A
35,0.347958,0.366205,1.071782
36,0.346715,0.367220,N/A
37,0.345590,0.366063,N/A
38,0.345006,0.366534,N/A
39,0.343943,0.368690,N/A
40,0.343445,0.367253,1.066629
41,0.342329,0.364758,N/A
42,0.341615,0.368848,N/A
43,0.340872,0.368282,N/A
44,0.339797,0.366535,N/A
45,0.339397,0.368124,1.064725
46,0.338439,0.366635,N/A
47,0.337700,0.368774,N/A
48,0.337353,0.368915,N/A
49,0.336337,0.366068,N/A
50,0.335737,0.368236,1.059589
