Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_L1
1,0.584065,0.425512,N/A
2,0.359101,0.320044,N/A
3,0.305854,0.293361,N/A
4,0.290460,0.288422,N/A
5,0.284356,0.282817,1.166274
6,0.280625,0.282145,N/A
7,0.278731,0.280098,N/A
8,0.276937,0.277350,N/A
9,0.275580,0.276964,N/A
10,0.274920,0.277967,1.156833
11,0.273745,0.275687,N/A
12,0.272998,0.273204,N/A
13,0.272161,0.271850,N/A
14,0.270090,0.272630,N/A
15,0.269389,0.270374,1.145636
16,0.267636,0.269971,N/A
17,0.266031,0.271377,N/A
18,0.265106,0.269944,N/A
19,0.263664,0.267010,N/A
20,0.262051,0.264904,1.145923
21,0.260886,0.267155,N/A
22,0.259875,0.268960,N/A
23,0.258490,0.268941,N/A
24,0.257188,0.269614,N/A
25,0.256304,0.268615,1.143253
26,0.254908,0.268422,N/A
27,0.254054,0.267850,N/A
28,0.252881,0.267808,N/A
29,0.251587,0.268422,N/A
30,0.250798,0.271558,1.147119
31,0.249961,0.269241,N/A
32,0.249398,0.270614,N/A
33,0.248221,0.266709,N/A
34,0.247407,0.269031,N/A
35,0.246669,0.270549,1.146100
36,0.245486,0.270482,N/A
37,0.244744,0.267419,N/A
38,0.244468,0.271949,N/A
39,0.243307,0.266905,N/A
40,0.242749,0.276389,1.149885
41,0.241943,0.274389,N/A
42,0.240896,0.269206,N/A
43,0.240420,0.274317,N/A
44,0.239885,0.272325,N/A
45,0.239260,0.274326,1.152771
46,0.238527,0.276168,N/A
47,0.237856,0.272586,N/A
48,0.237141,0.276221,N/A
49,0.236533,0.274996,N/A
50,0.235733,0.275196,1.156266
