Epoch,Train_Loss,Val_Loss
1,1.331903,1.108828
2,1.078613,1.052631
3,1.044514,1.032559
4,1.029346,1.023117
5,1.017875,1.014816
6,1.007965,1.009067
7,0.997674,0.997749
8,0.987392,0.987324
9,0.976888,0.979391
10,0.967028,0.966738
11,0.957434,0.960174
12,0.948271,0.956431
13,0.939693,0.946576
14,0.931197,0.937840
15,0.923499,0.934132
16,0.916368,0.926418
17,0.909345,0.921336
18,0.903329,0.916611
19,0.897454,0.910340
20,0.892109,0.905273
21,0.886492,0.902967
22,0.881856,0.902197
23,0.876962,0.894206
24,0.872271,0.889374
25,0.868450,0.888177
26,0.864298,0.884654
27,0.860736,0.883083
28,0.857188,0.879325
29,0.853705,0.874963
30,0.851129,0.872949
31,0.848338,0.870376
32,0.845471,0.867256
33,0.842953,0.863242
34,0.840901,0.861727
35,0.838813,0.862659
36,0.836739,0.857894
37,0.834874,0.857030
38,0.833413,0.855461
39,0.831902,0.853068
40,0.830724,0.852248
41,0.829578,0.851278
42,0.828360,0.850198
43,0.827588,0.849065
44,0.826388,0.848158
45,0.826187,0.847770
46,0.825522,0.847160
47,0.825206,0.846715
48,0.824971,0.846476
49,0.824774,0.846357
50,0.824584,0.846299
