Epoch,Train_Loss,Val_Loss
1,1.484793,1.252571
2,1.160165,1.099104
3,1.077817,1.064617
4,1.051898,1.042348
5,1.039196,1.038927
6,1.030780,1.027468
7,1.022559,1.023001
8,1.016673,1.015363
9,1.010392,1.014271
10,1.004735,1.006929
11,0.999342,1.001800
12,0.994767,0.997642
13,0.988443,0.992428
14,0.983021,0.987526
15,0.976834,0.982273
16,0.971376,0.974529
17,0.965184,0.969036
18,0.959619,0.965454
19,0.954180,0.961967
20,0.948994,0.955045
21,0.943928,0.953902
22,0.939525,0.947993
23,0.934939,0.944567
24,0.930824,0.939094
25,0.926291,0.941321
26,0.923480,0.934776
27,0.919246,0.929397
28,0.915634,0.927904
29,0.912984,0.924153
30,0.909793,0.921598
31,0.906874,0.917108
32,0.904380,0.916420
33,0.902335,0.913706
34,0.900162,0.910739
35,0.898135,0.908809
36,0.896389,0.908547
37,0.895063,0.904367
38,0.893282,0.904021
39,0.891943,0.901743
40,0.890637,0.900812
41,0.889619,0.899745
42,0.888717,0.898494
43,0.887644,0.897520
44,0.887349,0.897107
45,0.886923,0.896447
46,0.886639,0.896039
47,0.886350,0.895763
48,0.886103,0.895593
49,0.885866,0.895475
50,0.886002,0.895427
