Epoch,Train_Loss,Val_Loss
1,1.434969,1.234299
2,1.192601,1.159703
3,1.144942,1.134187
4,1.124470,1.122432
5,1.111822,1.112187
6,1.102524,1.105065
7,1.094451,1.100307
8,1.087356,1.094350
9,1.081098,1.089844
10,1.075114,1.084846
11,1.069497,1.080624
12,1.064048,1.076727
13,1.059031,1.073533
14,1.054447,1.070103
15,1.049459,1.067812
16,1.045306,1.067399
17,1.040840,1.063574
18,1.036803,1.059248
19,1.032878,1.055565
20,1.028703,1.054346
21,1.024666,1.052528
22,1.020957,1.050696
23,1.017199,1.045757
24,1.013569,1.045700
25,1.009960,1.042065
26,1.006674,1.039493
27,1.003261,1.039120
28,1.000558,1.038269
29,0.997374,1.034303
30,0.994682,1.032062
31,0.991833,1.030217
32,0.989148,1.030624
33,0.986931,1.025904
34,0.984144,1.027250
35,0.982160,1.025173
36,0.980030,1.022889
37,0.978220,1.020968
38,0.976418,1.020629
39,0.974776,1.019735
40,0.973230,1.018101
41,0.971893,1.017307
42,0.970802,1.016712
43,0.969889,1.015651
44,0.969125,1.014848
45,0.968379,1.014260
46,0.967882,1.014122
47,0.967549,1.013781
48,0.966989,1.013621
49,0.966751,1.013479
50,0.966738,1.013359
