Epoch,Train_Loss,Val_Loss
1,1.565995,1.382121
2,1.300036,1.233128
3,1.210600,1.185902
4,1.172613,1.160757
5,1.151279,1.143462
6,1.137327,1.132587
7,1.127001,1.124171
8,1.118934,1.118794
9,1.113270,1.115427
10,1.107757,1.115804
11,1.103663,1.108777
12,1.098948,1.104942
13,1.094857,1.102616
14,1.091311,1.099339
15,1.087557,1.095557
16,1.084203,1.092890
17,1.080869,1.092019
18,1.078072,1.087754
19,1.074860,1.085741
20,1.072022,1.082398
21,1.069278,1.081578
22,1.066785,1.080374
23,1.064244,1.077881
24,1.061918,1.077047
25,1.059723,1.073822
26,1.057218,1.072631
27,1.055558,1.071200
28,1.052954,1.069590
29,1.051455,1.067808
30,1.049686,1.065750
31,1.047650,1.064455
32,1.046056,1.063932
33,1.044695,1.062818
34,1.043288,1.060055
35,1.041715,1.059164
36,1.040630,1.058402
37,1.039356,1.058489
38,1.038551,1.056130
39,1.037474,1.055418
40,1.036548,1.055194
41,1.035886,1.054092
42,1.035375,1.053532
43,1.034627,1.053129
44,1.034176,1.052853
45,1.034018,1.052465
46,1.033784,1.052320
47,1.033237,1.052146
48,1.032932,1.052059
49,1.033202,1.051976
50,1.033034,1.051941
