Epoch,Train_Loss,Val_Cheap_Loss,Val_TACOs_Reconstruct_Raw_Cos
1,0.251748,0.132391,N/A
2,0.132436,0.126162,N/A
3,0.121052,0.118059,N/A
4,0.114982,0.114630,N/A
5,0.109409,0.107264,0.708357
6,0.104046,0.102355,N/A
7,0.099473,0.100439,N/A
8,0.095561,0.096702,N/A
9,0.093042,0.095714,N/A
10,0.090371,0.092955,0.737840
11,0.088428,0.091974,N/A
12,0.085681,0.090080,N/A
13,0.085597,0.089212,N/A
14,0.082989,0.085740,N/A
15,0.081866,0.085890,0.766243
16,0.080885,0.085996,N/A
17,0.079481,0.083172,N/A
