Epoch,Train_Loss,Val_Cheap_Loss,Val_Cheap_Cos_Similarity,Val_TACOs_Reconstruct_MSE
1,1.090970,0.809790,0.770697,N/A
2,0.673965,0.552248,0.850411,N/A
3,0.487420,0.434170,0.884522,N/A
4,0.398936,0.371076,0.902062,N/A
5,0.351606,0.330221,0.913358,N/A
6,0.318171,0.308203,0.919419,N/A
7,0.295999,0.283895,0.926011,N/A
8,0.272546,0.260590,0.932245,N/A
9,0.259009,0.257757,0.932926,N/A
10,0.245155,0.255082,0.933754,N/A
11,0.232466,0.229419,0.940622,N/A
12,0.222088,0.217212,0.943815,N/A
13,0.214470,0.215852,0.944210,N/A
14,0.204213,0.205412,0.946932,N/A
15,0.196367,0.205968,0.946781,N/A
16,0.192866,0.202275,0.947844,N/A
17,0.185435,0.191806,0.950533,N/A
18,0.178529,0.181495,0.953293,N/A
19,0.174806,0.187740,0.951674,N/A
20,0.171903,0.178789,0.954047,N/A
21,0.166427,0.172797,0.955530,N/A
22,0.163993,0.168974,0.956535,N/A
23,0.162893,0.164916,0.957629,N/A
24,0.158384,0.162022,0.958387,N/A
25,0.155900,0.160744,0.958703,0.164124
