embedding_index,split,method,morph_path,morph_filename,criminal_stem,accomplice_stem,criminal_bonafide_path,accomplice_bonafide_path
0,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-013_03.png,001_03-vs-013_03.png,001_03,013_03,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/013_03.jpg
1,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-014_03.png,001_03-vs-014_03.png,001_03,014_03,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/014_03.jpg
2,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-030_03.png,001_03-vs-030_03.png,001_03,030_03,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/030_03.jpg
3,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-122_03.png,001_03-vs-122_03.png,001_03,122_03,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/122_03.jpg
4,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_03-vs-129_03.png,001_03-vs-129_03.png,001_03,129_03,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_03.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/129_03.jpg
5,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-010_08.png,001_08-vs-010_08.png,001_08,010_08,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/010_08.jpg
6,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-014_08.png,001_08-vs-014_08.png,001_08,014_08,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/014_08.jpg
7,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-039_08.png,001_08-vs-039_08.png,001_08,039_08,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/039_08.jpg
8,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-087_08.png,001_08-vs-087_08.png,001_08,087_08,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/087_08.jpg
9,train,MIPGAN_II,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/MIPGAN_II/001_08-vs-094_08.png,001_08-vs-094_08.png,001_08,094_08,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/001_08.jpg,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/MAD22/original_sorted/BonaFide/094_08.jpg
