embedding_index,image_path,filename,source_image_A_stem,source_image_B_stem,source_idx_A_in_train_bf,source_idx_B_in_train_bf
0,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000184_img282038.png,morphed_img000184_img282038.png,img000184,img282038,13,12655
1,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000184_img496816.png,morphed_img000184_img496816.png,img000184,img496816,13,22347
2,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img054553.png,morphed_img000270_img054553.png,img000270,img054553,16,2422
3,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img099545.png,morphed_img000270_img099545.png,img000270,img099545,16,4403
4,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img282038.png,morphed_img000270_img282038.png,img000270,img282038,16,12655
5,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img337488.png,morphed_img000270_img337488.png,img000270,img337488,16,15168
6,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000270_img496816.png,morphed_img000270_img496816.png,img000270,img496816,16,22347
7,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img054553.png,morphed_img000446_img054553.png,img000446,img054553,29,2422
8,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img099545.png,morphed_img000446_img099545.png,img000446,img099545,29,4403
9,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img282038.png,morphed_img000446_img282038.png,img000446,img282038,29,12655
10,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img337488.png,morphed_img000446_img337488.png,img000446,img337488,29,15168
11,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img496816.png,morphed_img000446_img496816.png,img000446,img496816,29,22347
12,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000650_img282038.png,morphed_img000650_img282038.png,img000650,img282038,41,12655
13,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000650_img337488.png,morphed_img000650_img337488.png,img000650,img337488,41,15168
14,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img099545.png,morphed_img000663_img099545.png,img000663,img099545,42,4403
15,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img282038.png,morphed_img000663_img282038.png,img000663,img282038,42,12655
16,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img337488.png,morphed_img000663_img337488.png,img000663,img337488,42,15168
17,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000663_img496816.png,morphed_img000663_img496816.png,img000663,img496816,42,22347
18,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000679_img099545.png,morphed_img000679_img099545.png,img000679,img099545,43,4403
19,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000679_img282038.png,morphed_img000679_img282038.png,img000679,img282038,43,12655
20,/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000679_img337488.png,morphed_img000679_img337488.png,img000679,img337488,43,15168
