morph_path,morph_filename,source_image_A_stem,source_image_B_stem
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img054553.png,morphed_img000446_img054553.png,img000446,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img000446_img496816.png,morphed_img000446_img496816.png,img000446,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001522_img054553.png,morphed_img001522_img054553.png,img001522,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001522_img496816.png,morphed_img001522_img496816.png,img001522,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img054553.png,morphed_img001972_img054553.png,img001972,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img001972_img496816.png,morphed_img001972_img496816.png,img001972,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img054553.png,morphed_img003997_img054553.png,img003997,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img003997_img496816.png,morphed_img003997_img496816.png,img003997,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img054553.png,morphed_img004302_img054553.png,img004302,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004302_img496816.png,morphed_img004302_img496816.png,img004302,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img054553.png,morphed_img004962_img054553.png,img004962,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img004962_img496816.png,morphed_img004962_img496816.png,img004962,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005893_img054553.png,morphed_img005893_img054553.png,img005893,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img005893_img496816.png,morphed_img005893_img496816.png,img005893,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img007459_img496816.png,morphed_img007459_img496816.png,img007459,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img008761_img054553.png,morphed_img008761_img054553.png,img008761,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img008761_img496816.png,morphed_img008761_img496816.png,img008761,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img012422_img054553.png,morphed_img012422_img054553.png,img012422,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img012422_img496816.png,morphed_img012422_img496816.png,img012422,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img013818_img496816.png,morphed_img013818_img496816.png,img013818,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img016278_img054553.png,morphed_img016278_img054553.png,img016278,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img016278_img496816.png,morphed_img016278_img496816.png,img016278,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img016800_img496816.png,morphed_img016800_img496816.png,img016800,img496816
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img018739_img054553.png,morphed_img018739_img054553.png,img018739,img054553
/nas-ctm01/datasets/public/BIOMETRICS/Face_Morphing/SMDD/m15k_t/morphed_img018739_img496816.png,morphed_img018739_img496816.png,img018739,img496816
