Epoch 1 | Train Loss: 1.3485 | Val Cheap Loss: 1.1849 | Val Last-T Loss: 1.1785
Epoch 2 | Train Loss: 1.1366 | Val Cheap Loss: 1.1061 | Val Last-T Loss: 1.1528
Epoch 3 | Train Loss: 1.0965 | Val Cheap Loss: 1.0941 | Val Last-T Loss: 1.1451
Epoch 4 | Train Loss: 1.0836 | Val Cheap Loss: 1.0856 | Val Last-T Loss: 1.1388
Epoch 5 | Train Loss: 1.0758 | Val Cheap Loss: 1.0798 | Val Last-T Loss: 1.1327
Epoch 6 | Train Loss: 1.0686 | Val Cheap Loss: 1.0763 | Val Last-T Loss: 1.1258
Epoch 7 | Train Loss: 1.0624 | Val Cheap Loss: 1.0642 | Val Last-T Loss: 1.1167
Epoch 8 | Train Loss: 1.0555 | Val Cheap Loss: 1.0591 | Val Last-T Loss: 1.1131
Epoch 9 | Train Loss: 1.0504 | Val Cheap Loss: 1.0584 | Val Last-T Loss: 1.1051
Epoch 10 | Train Loss: 1.0439 | Val Cheap Loss: 1.0511 | Val Last-T Loss: 1.0976
Epoch 11 | Train Loss: 1.0387 | Val Cheap Loss: 1.0482 | Val Last-T Loss: 1.0934
Epoch 12 | Train Loss: 1.0329 | Val Cheap Loss: 1.0531 | Val Last-T Loss: 1.0927
Epoch 13 | Train Loss: 1.0289 | Val Cheap Loss: 1.0414 | Val Last-T Loss: 1.0845
Epoch 14 | Train Loss: 1.0234 | Val Cheap Loss: 1.0407 | Val Last-T Loss: 1.0830
Epoch 15 | Train Loss: 1.0188 | Val Cheap Loss: 1.0360 | Val Last-T Loss: 1.0775
Epoch 16 | Train Loss: 1.0139 | Val Cheap Loss: 1.0350 | Val Last-T Loss: 1.0734
Epoch 17 | Train Loss: 1.0094 | Val Cheap Loss: 1.0329 | Val Last-T Loss: 1.0695
Epoch 18 | Train Loss: 1.0055 | Val Cheap Loss: 1.0315 | Val Last-T Loss: 1.0691
Epoch 19 | Train Loss: 1.0019 | Val Cheap Loss: 1.0322 | Val Last-T Loss: 1.0694
