Loading datasets into memory...
Epoch 1 | Train Loss: 0.4937 | Val Loss: 0.3948 | A->B: 0.1205 | B->A: 0.6692 
Epoch 2 | Train Loss: 0.3504 | Val Loss: 0.3145 | A->B: 0.1008 | B->A: 0.5282 
Epoch 3 | Train Loss: 0.2833 | Val Loss: 0.2627 | A->B: 0.0746 | B->A: 0.4509 
Epoch 4 | Train Loss: 0.2384 | Val Loss: 0.2229 | A->B: 0.0618 | B->A: 0.3840 
Epoch 5 | Train Loss: 0.2124 | Val Loss: 0.2060 | A->B: 0.0513 | B->A: 0.3606 
Epoch 6 | Train Loss: 0.1945 | Val Loss: 0.1888 | A->B: 0.0541 | B->A: 0.3235 
Epoch 7 | Train Loss: 0.1783 | Val Loss: 0.1860 | A->B: 0.0712 | B->A: 0.3008 
Epoch 8 | Train Loss: 0.1770 | Val Loss: 0.1833 | A->B: 0.0372 | B->A: 0.3294 
Epoch 9 | Train Loss: 0.1705 | Val Loss: 0.1750 | A->B: 0.0311 | B->A: 0.3189 
Epoch 10 | Train Loss: 0.1610 | Val Loss: 0.1702 | A->B: 0.0549 | B->A: 0.2855 
Epoch 11 | Train Loss: 0.1538 | Val Loss: 0.1530 | A->B: 0.0291 | B->A: 0.2768 
Epoch 12 | Train Loss: 0.1448 | Val Loss: 0.1484 | A->B: 0.0287 | B->A: 0.2681 
Epoch 13 | Train Loss: 0.1463 | Val Loss: 0.1583 | A->B: 0.0404 | B->A: 0.2761 
Epoch 14 | Train Loss: 0.1443 | Val Loss: 0.1405 | A->B: 0.0250 | B->A: 0.2560 
Epoch 15 | Train Loss: 0.1357 | Val Loss: 0.1425 | A->B: 0.0342 | B->A: 0.2508 
Epoch 16 | Train Loss: 0.1322 | Val Loss: 0.1363 | A->B: 0.0328 | B->A: 0.2397 
Epoch 17 | Train Loss: 0.1296 | Val Loss: 0.1355 | A->B: 0.0299 | B->A: 0.2411 
Epoch 18 | Train Loss: 0.1292 | Val Loss: 0.1286 | A->B: 0.0200 | B->A: 0.2373 
Epoch 19 | Train Loss: 0.1237 | Val Loss: 0.1331 | A->B: 0.0257 | B->A: 0.2404 
Epoch 20 | Train Loss: 0.1235 | Val Loss: 0.1289 | A->B: 0.0245 | B->A: 0.2333 
Epoch 21 | Train Loss: 0.1212 | Val Loss: 0.1264 | A->B: 0.0250 | B->A: 0.2279 
Epoch 22 | Train Loss: 0.1172 | Val Loss: 0.1278 | A->B: 0.0183 | B->A: 0.2373 
Epoch 23 | Train Loss: 0.1146 | Val Loss: 0.1275 | A->B: 0.0332 | B->A: 0.2219 
Epoch 24 | Train Loss: 0.1181 | Val Loss: 0.1302 | A->B: 0.0397 | B->A: 0.2207 
Epoch 25 | Train Loss: 0.1173 | Val Loss: 0.1210 | A->B: 0.0188 | B->A: 0.2233 | Sample L1: 0.1987 | Sample A->B: 0.0443 | Sample B->A: 0.3531
Epoch 26 | Train Loss: 0.1120 | Val Loss: 0.1220 | A->B: 0.0136 | B->A: 0.2304 
Epoch 27 | Train Loss: 0.1081 | Val Loss: 0.1182 | A->B: 0.0153 | B->A: 0.2211 
Epoch 28 | Train Loss: 0.1086 | Val Loss: 0.1117 | A->B: 0.0158 | B->A: 0.2077 
Epoch 29 | Train Loss: 0.1064 | Val Loss: 0.1130 | A->B: 0.0184 | B->A: 0.2077 
Epoch 30 | Train Loss: 0.1037 | Val Loss: 0.1121 | A->B: 0.0147 | B->A: 0.2094 
Epoch 31 | Train Loss: 0.1059 | Val Loss: 0.1168 | A->B: 0.0159 | B->A: 0.2177 
Epoch 32 | Train Loss: 0.1026 | Val Loss: 0.1132 | A->B: 0.0150 | B->A: 0.2114 
Epoch 33 | Train Loss: 0.1024 | Val Loss: 0.1118 | A->B: 0.0192 | B->A: 0.2044 
Epoch 34 | Train Loss: 0.0998 | Val Loss: 0.1113 | A->B: 0.0177 | B->A: 0.2050 
Epoch 35 | Train Loss: 0.0985 | Val Loss: 0.1131 | A->B: 0.0204 | B->A: 0.2057 
Epoch 36 | Train Loss: 0.0976 | Val Loss: 0.1074 | A->B: 0.0148 | B->A: 0.2000 
Epoch 37 | Train Loss: 0.1002 | Val Loss: 0.1090 | A->B: 0.0171 | B->A: 0.2010 
Epoch 38 | Train Loss: 0.0983 | Val Loss: 0.1035 | A->B: 0.0125 | B->A: 0.1945 
Epoch 39 | Train Loss: 0.0959 | Val Loss: 0.1007 | A->B: 0.0118 | B->A: 0.1896 
Epoch 40 | Train Loss: 0.0930 | Val Loss: 0.1031 | A->B: 0.0158 | B->A: 0.1903 
Epoch 41 | Train Loss: 0.0945 | Val Loss: 0.1037 | A->B: 0.0162 | B->A: 0.1913 
Epoch 42 | Train Loss: 0.0902 | Val Loss: 0.1024 | A->B: 0.0101 | B->A: 0.1948 
Epoch 43 | Train Loss: 0.0919 | Val Loss: 0.1047 | A->B: 0.0200 | B->A: 0.1893 
Epoch 44 | Train Loss: 0.0895 | Val Loss: 0.0975 | A->B: 0.0099 | B->A: 0.1852 
Epoch 45 | Train Loss: 0.0878 | Val Loss: 0.1039 | A->B: 0.0165 | B->A: 0.1914 
Epoch 46 | Train Loss: 0.0888 | Val Loss: 0.0992 | A->B: 0.0120 | B->A: 0.1864 
Epoch 47 | Train Loss: 0.0898 | Val Loss: 0.1004 | A->B: 0.0115 | B->A: 0.1893 
Epoch 48 | Train Loss: 0.0866 | Val Loss: 0.1027 | A->B: 0.0108 | B->A: 0.1947 
Epoch 49 | Train Loss: 0.0882 | Val Loss: 0.1001 | A->B: 0.0095 | B->A: 0.1906 
Epoch 50 | Train Loss: 0.0882 | Val Loss: 0.0993 | A->B: 0.0186 | B->A: 0.1801 | Sample L1: 0.1817 | Sample A->B: 0.0927 | Sample B->A: 0.2706
Epoch 51 | Train Loss: 0.0864 | Val Loss: 0.0973 | A->B: 0.0105 | B->A: 0.1841 
Epoch 52 | Train Loss: 0.0839 | Val Loss: 0.0975 | A->B: 0.0104 | B->A: 0.1846 
Epoch 53 | Train Loss: 0.0864 | Val Loss: 0.0948 | A->B: 0.0105 | B->A: 0.1791 
Epoch 54 | Train Loss: 0.0817 | Val Loss: 0.0969 | A->B: 0.0080 | B->A: 0.1857 
Epoch 55 | Train Loss: 0.0845 | Val Loss: 0.0993 | A->B: 0.0140 | B->A: 0.1846 
Epoch 56 | Train Loss: 0.0814 | Val Loss: 0.0972 | A->B: 0.0126 | B->A: 0.1818 
Epoch 57 | Train Loss: 0.0833 | Val Loss: 0.0942 | A->B: 0.0128 | B->A: 0.1756 
Epoch 58 | Train Loss: 0.0824 | Val Loss: 0.0952 | A->B: 0.0114 | B->A: 0.1790 
Epoch 59 | Train Loss: 0.0797 | Val Loss: 0.0919 | A->B: 0.0093 | B->A: 0.1745 
Epoch 60 | Train Loss: 0.0798 | Val Loss: 0.0968 | A->B: 0.0173 | B->A: 0.1764 
Epoch 61 | Train Loss: 0.0791 | Val Loss: 0.0933 | A->B: 0.0166 | B->A: 0.1700 
Epoch 62 | Train Loss: 0.0791 | Val Loss: 0.0944 | A->B: 0.0099 | B->A: 0.1790 
Epoch 63 | Train Loss: 0.0777 | Val Loss: 0.0937 | A->B: 0.0121 | B->A: 0.1752 
Epoch 64 | Train Loss: 0.0783 | Val Loss: 0.0928 | A->B: 0.0106 | B->A: 0.1751 
Epoch 65 | Train Loss: 0.0762 | Val Loss: 0.0960 | A->B: 0.0077 | B->A: 0.1844 
Epoch 66 | Train Loss: 0.0789 | Val Loss: 0.0983 | A->B: 0.0188 | B->A: 0.1778 
Epoch 67 | Train Loss: 0.0787 | Val Loss: 0.0923 | A->B: 0.0111 | B->A: 0.1734 
Epoch 68 | Train Loss: 0.0776 | Val Loss: 0.0934 | A->B: 0.0085 | B->A: 0.1783 
Epoch 69 | Train Loss: 0.0734 | Val Loss: 0.0892 | A->B: 0.0082 | B->A: 0.1702 
Epoch 70 | Train Loss: 0.0746 | Val Loss: 0.0907 | A->B: 0.0104 | B->A: 0.1711 
Epoch 71 | Train Loss: 0.0738 | Val Loss: 0.0906 | A->B: 0.0084 | B->A: 0.1728 
Epoch 72 | Train Loss: 0.0720 | Val Loss: 0.0879 | A->B: 0.0081 | B->A: 0.1677 
Epoch 73 | Train Loss: 0.0742 | Val Loss: 0.0888 | A->B: 0.0111 | B->A: 0.1666 
Epoch 74 | Train Loss: 0.0729 | Val Loss: 0.0894 | A->B: 0.0106 | B->A: 0.1682 
