Loading data...
Epoch 001 | train_loss: 0.6640 | val_loss: 0.5675
Epoch 002 | train_loss: 0.4484 | val_loss: 0.4425
Epoch 003 | train_loss: 0.3352 | val_loss: 0.3831
Epoch 004 | train_loss: 0.2782 | val_loss: 0.3617
Epoch 005 | train_loss: 0.2448 | val_loss: 0.3428
Epoch 006 | train_loss: 0.2219 | val_loss: 0.3345
Epoch 007 | train_loss: 0.2040 | val_loss: 0.3275
Epoch 008 | train_loss: 0.1901 | val_loss: 0.3231
Epoch 009 | train_loss: 0.1790 | val_loss: 0.3256
Epoch 010 | train_loss: 0.1702 | val_loss: 0.3212 | val_sample_l1: 0.4688
Epoch 011 | train_loss: 0.1602 | val_loss: 0.3180
Epoch 012 | train_loss: 0.1531 | val_loss: 0.3177
Epoch 013 | train_loss: 0.1471 | val_loss: 0.3148
Epoch 014 | train_loss: 0.1412 | val_loss: 0.3128
Epoch 015 | train_loss: 0.1364 | val_loss: 0.3190
Epoch 016 | train_loss: 0.1305 | val_loss: 0.3097
Epoch 017 | train_loss: 0.1268 | val_loss: 0.3110
Epoch 018 | train_loss: 0.1229 | val_loss: 0.3154
Epoch 019 | train_loss: 0.1188 | val_loss: 0.3157
Epoch 020 | train_loss: 0.1160 | val_loss: 0.3156 | val_sample_l1: 0.4697
Epoch 021 | train_loss: 0.1126 | val_loss: 0.3151
Epoch 022 | train_loss: 0.1089 | val_loss: 0.3124
Epoch 023 | train_loss: 0.1069 | val_loss: 0.3113
Epoch 024 | train_loss: 0.1045 | val_loss: 0.3141
Epoch 025 | train_loss: 0.1018 | val_loss: 0.3157
Epoch 026 | train_loss: 0.0995 | val_loss: 0.3147
Epoch 027 | train_loss: 0.0970 | val_loss: 0.3142
Epoch 028 | train_loss: 0.0956 | val_loss: 0.3161
Epoch 029 | train_loss: 0.0928 | val_loss: 0.3118
Epoch 030 | train_loss: 0.0927 | val_loss: 0.3151 | val_sample_l1: 0.4689
Epoch 031 | train_loss: 0.0903 | val_loss: 0.3153
Epoch 032 | train_loss: 0.0889 | val_loss: 0.3148
Epoch 033 | train_loss: 0.0875 | val_loss: 0.3145
Epoch 034 | train_loss: 0.0853 | val_loss: 0.3120
Epoch 035 | train_loss: 0.0841 | val_loss: 0.3115
Epoch 036 | train_loss: 0.0827 | val_loss: 0.3146
Epoch 037 | train_loss: 0.0812 | val_loss: 0.3136
Epoch 038 | train_loss: 0.0806 | val_loss: 0.3148
Epoch 039 | train_loss: 0.0790 | val_loss: 0.3130
Epoch 040 | train_loss: 0.0786 | val_loss: 0.3130 | val_sample_l1: 0.4692
Epoch 041 | train_loss: 0.0776 | val_loss: 0.3148
Epoch 042 | train_loss: 0.0768 | val_loss: 0.3118
Epoch 043 | train_loss: 0.0755 | val_loss: 0.3156
Epoch 044 | train_loss: 0.0744 | val_loss: 0.3127
Epoch 045 | train_loss: 0.0743 | val_loss: 0.3152
Epoch 046 | train_loss: 0.0727 | val_loss: 0.3132
Epoch 047 | train_loss: 0.0713 | val_loss: 0.3140
Epoch 048 | train_loss: 0.0699 | val_loss: 0.3131
Epoch 049 | train_loss: 0.0697 | val_loss: 0.3113
Epoch 050 | train_loss: 0.0692 | val_loss: 0.3148 | val_sample_l1: 0.4670
Epoch 051 | train_loss: 0.0683 | val_loss: 0.3142
Epoch 052 | train_loss: 0.0684 | val_loss: 0.3148
Epoch 053 | train_loss: 0.0680 | val_loss: 0.3166
Epoch 054 | train_loss: 0.0663 | val_loss: 0.3115
Epoch 055 | train_loss: 0.0659 | val_loss: 0.3133
Epoch 056 | train_loss: 0.0652 | val_loss: 0.3111
Epoch 057 | train_loss: 0.0653 | val_loss: 0.3152
Epoch 058 | train_loss: 0.0642 | val_loss: 0.3130
Epoch 059 | train_loss: 0.0634 | val_loss: 0.3129
Epoch 060 | train_loss: 0.0631 | val_loss: 0.3150 | val_sample_l1: 0.4686
Epoch 061 | train_loss: 0.0627 | val_loss: 0.3127
Epoch 062 | train_loss: 0.0619 | val_loss: 0.3114
Epoch 063 | train_loss: 0.0615 | val_loss: 0.3117
Epoch 064 | train_loss: 0.0607 | val_loss: 0.3137
Epoch 065 | train_loss: 0.0612 | val_loss: 0.3155
Epoch 066 | train_loss: 0.0602 | val_loss: 0.3140
Epoch 067 | train_loss: 0.0596 | val_loss: 0.3126
Epoch 068 | train_loss: 0.0590 | val_loss: 0.3123
Epoch 069 | train_loss: 0.0588 | val_loss: 0.3110
Epoch 070 | train_loss: 0.0585 | val_loss: 0.3142 | val_sample_l1: 0.4637
Epoch 071 | train_loss: 0.0577 | val_loss: 0.3130
Epoch 072 | train_loss: 0.0590 | val_loss: 0.3120
Epoch 073 | train_loss: 0.0578 | val_loss: 0.3128
Epoch 074 | train_loss: 0.0567 | val_loss: 0.3168
Epoch 075 | train_loss: 0.0559 | val_loss: 0.3147
Epoch 076 | train_loss: 0.0555 | val_loss: 0.3168
Epoch 077 | train_loss: 0.0556 | val_loss: 0.3135
Epoch 078 | train_loss: 0.0550 | val_loss: 0.3167
Epoch 079 | train_loss: 0.0550 | val_loss: 0.3168
Epoch 080 | train_loss: 0.0551 | val_loss: 0.3127 | val_sample_l1: 0.4645
Epoch 081 | train_loss: 0.0541 | val_loss: 0.3118
Epoch 082 | train_loss: 0.0537 | val_loss: 0.3125
Epoch 083 | train_loss: 0.0532 | val_loss: 0.3124
Epoch 084 | train_loss: 0.0525 | val_loss: 0.3167
Epoch 085 | train_loss: 0.0525 | val_loss: 0.3123
Epoch 086 | train_loss: 0.0528 | val_loss: 0.3141
Epoch 087 | train_loss: 0.0528 | val_loss: 0.3153
Epoch 088 | train_loss: 0.0526 | val_loss: 0.3148
Epoch 089 | train_loss: 0.0522 | val_loss: 0.3132
Epoch 090 | train_loss: 0.0511 | val_loss: 0.3115 | val_sample_l1: 0.4653
Epoch 091 | train_loss: 0.0510 | val_loss: 0.3124
Epoch 092 | train_loss: 0.0510 | val_loss: 0.3125
Epoch 093 | train_loss: 0.0512 | val_loss: 0.3162
