Loading data...
Epoch 001 | train_loss: 1.6031 | train_l1: 0.9793 | train_cos: 0.6309 | train_success: 0.0000 | val_mse: 1.5037 | val_l1: 0.9476 | val_cos: 0.6576 | val_success: 0.0000
Epoch 002 | train_loss: 1.4741 | train_l1: 0.9292 | train_cos: 0.6522 | train_success: 0.0868 | val_mse: 1.4966 | val_l1: 0.9452 | val_cos: 0.6585 | val_success: 0.0000
Epoch 003 | train_loss: 1.3221 | train_l1: 0.8697 | train_cos: 0.6774 | train_success: 0.2417 | val_mse: 1.4969 | val_l1: 0.9454 | val_cos: 0.6584 | val_success: 0.0000
Epoch 004 | train_loss: 1.2809 | train_l1: 0.8540 | train_cos: 0.6864 | train_success: 0.3199 | val_mse: 1.4997 | val_l1: 0.9464 | val_cos: 0.6580 | val_success: 0.0000
Epoch 005 | train_loss: 1.2078 | train_l1: 0.8287 | train_cos: 0.6980 | train_success: 0.3456 | val_mse: 1.5072 | val_l1: 0.9482 | val_cos: 0.6571 | val_success: 0.0000
Epoch 006 | train_loss: 1.1191 | train_l1: 0.7951 | train_cos: 0.7138 | train_success: 0.4277 | val_mse: 1.5024 | val_l1: 0.9468 | val_cos: 0.6577 | val_success: 0.0000
Epoch 007 | train_loss: 1.0936 | train_l1: 0.7857 | train_cos: 0.7174 | train_success: 0.4516 | val_mse: 1.4994 | val_l1: 0.9461 | val_cos: 0.6581 | val_success: 0.0000
Epoch 008 | train_loss: 1.0864 | train_l1: 0.7827 | train_cos: 0.7188 | train_success: 0.4607 | val_mse: 1.4965 | val_l1: 0.9452 | val_cos: 0.6584 | val_success: 0.0000
Epoch 009 | train_loss: 1.0812 | train_l1: 0.7813 | train_cos: 0.7197 | train_success: 0.4557 | val_mse: 1.4932 | val_l1: 0.9442 | val_cos: 0.6588 | val_success: 0.0000
Epoch 010 | train_loss: 1.0638 | train_l1: 0.7756 | train_cos: 0.7217 | train_success: 0.4660 | val_mse: 1.4912 | val_l1: 0.9435 | val_cos: 0.6591 | val_success: 0.0000
Epoch 011 | train_loss: 1.0768 | train_l1: 0.7797 | train_cos: 0.7198 | train_success: 0.4566 | val_mse: 1.4892 | val_l1: 0.9429 | val_cos: 0.6593 | val_success: 0.0000
Epoch 012 | train_loss: 1.0588 | train_l1: 0.7737 | train_cos: 0.7225 | train_success: 0.4685 | val_mse: 1.4879 | val_l1: 0.9424 | val_cos: 0.6595 | val_success: 0.0000
Epoch 013 | train_loss: 1.0653 | train_l1: 0.7756 | train_cos: 0.7218 | train_success: 0.4613 | val_mse: 1.4860 | val_l1: 0.9418 | val_cos: 0.6597 | val_success: 0.0000
Epoch 014 | train_loss: 1.0525 | train_l1: 0.7710 | train_cos: 0.7241 | train_success: 0.4698 | val_mse: 1.4846 | val_l1: 0.9412 | val_cos: 0.6600 | val_success: 0.0000
Epoch 015 | train_loss: 1.0441 | train_l1: 0.7686 | train_cos: 0.7255 | train_success: 0.4725 | val_mse: 1.4823 | val_l1: 0.9405 | val_cos: 0.6603 | val_success: 0.0000
Epoch 016 | train_loss: 1.0337 | train_l1: 0.7637 | train_cos: 0.7281 | train_success: 0.4921 | val_mse: 1.4816 | val_l1: 0.9402 | val_cos: 0.6603 | val_success: 0.0000
Epoch 017 | train_loss: 1.0318 | train_l1: 0.7633 | train_cos: 0.7277 | train_success: 0.4863 | val_mse: 1.4785 | val_l1: 0.9392 | val_cos: 0.6608 | val_success: 0.0000
Epoch 018 | train_loss: 1.0430 | train_l1: 0.7669 | train_cos: 0.7258 | train_success: 0.4745 | val_mse: 1.4741 | val_l1: 0.9377 | val_cos: 0.6613 | val_success: 0.0000
Epoch 019 | train_loss: 1.0238 | train_l1: 0.7608 | train_cos: 0.7286 | train_success: 0.4820 | val_mse: 1.4696 | val_l1: 0.9361 | val_cos: 0.6619 | val_success: 0.0000
Epoch 020 | train_loss: 1.0219 | train_l1: 0.7597 | train_cos: 0.7293 | train_success: 0.4846 | val_mse: 1.4681 | val_l1: 0.9356 | val_cos: 0.6622 | val_success: 0.0000
Epoch 021 | train_loss: 1.0253 | train_l1: 0.7610 | train_cos: 0.7284 | train_success: 0.4850 | val_mse: 1.4657 | val_l1: 0.9347 | val_cos: 0.6625 | val_success: 0.0000
Epoch 022 | train_loss: 1.0141 | train_l1: 0.7567 | train_cos: 0.7296 | train_success: 0.4942 | val_mse: 1.4624 | val_l1: 0.9335 | val_cos: 0.6629 | val_success: 0.0000
Epoch 023 | train_loss: 1.0017 | train_l1: 0.7530 | train_cos: 0.7334 | train_success: 0.5017 | val_mse: 1.4602 | val_l1: 0.9328 | val_cos: 0.6633 | val_success: 0.0000
Epoch 024 | train_loss: 1.0053 | train_l1: 0.7537 | train_cos: 0.7320 | train_success: 0.5012 | val_mse: 1.4563 | val_l1: 0.9314 | val_cos: 0.6638 | val_success: 0.0000
Epoch 025 | train_loss: 0.9966 | train_l1: 0.7510 | train_cos: 0.7346 | train_success: 0.5078 | val_mse: 1.4533 | val_l1: 0.9303 | val_cos: 0.6642 | val_success: 0.0000
Epoch 026 | train_loss: 1.0021 | train_l1: 0.7528 | train_cos: 0.7329 | train_success: 0.4995 | val_mse: 1.4495 | val_l1: 0.9290 | val_cos: 0.6648 | val_success: 0.0000
Epoch 027 | train_loss: 0.9906 | train_l1: 0.7491 | train_cos: 0.7350 | train_success: 0.5061 | val_mse: 1.4461 | val_l1: 0.9277 | val_cos: 0.6652 | val_success: 0.0000
Epoch 028 | train_loss: 0.9919 | train_l1: 0.7491 | train_cos: 0.7336 | train_success: 0.5087 | val_mse: 1.4420 | val_l1: 0.9263 | val_cos: 0.6658 | val_success: 0.0000
Epoch 029 | train_loss: 0.9826 | train_l1: 0.7462 | train_cos: 0.7354 | train_success: 0.5166 | val_mse: 1.4402 | val_l1: 0.9256 | val_cos: 0.6661 | val_success: 0.0000
Epoch 030 | train_loss: 0.9790 | train_l1: 0.7444 | train_cos: 0.7371 | train_success: 0.5211 | val_mse: 1.4352 | val_l1: 0.9238 | val_cos: 0.6668 | val_success: 0.0000
Epoch 031 | train_loss: 0.9841 | train_l1: 0.7468 | train_cos: 0.7354 | train_success: 0.5066 | val_mse: 1.4296 | val_l1: 0.9219 | val_cos: 0.6676 | val_success: 0.0000
Epoch 032 | train_loss: 0.9808 | train_l1: 0.7457 | train_cos: 0.7368 | train_success: 0.5108 | val_mse: 1.4251 | val_l1: 0.9203 | val_cos: 0.6682 | val_success: 0.0000
Epoch 033 | train_loss: 0.9681 | train_l1: 0.7407 | train_cos: 0.7380 | train_success: 0.5202 | val_mse: 1.4200 | val_l1: 0.9184 | val_cos: 0.6689 | val_success: 0.0000
Epoch 034 | train_loss: 0.9634 | train_l1: 0.7398 | train_cos: 0.7388 | train_success: 0.5161 | val_mse: 1.4158 | val_l1: 0.9168 | val_cos: 0.6697 | val_success: 0.0000
Epoch 035 | train_loss: 0.9611 | train_l1: 0.7383 | train_cos: 0.7398 | train_success: 0.5219 | val_mse: 1.4105 | val_l1: 0.9148 | val_cos: 0.6704 | val_success: 0.0000
Epoch 036 | train_loss: 0.9545 | train_l1: 0.7362 | train_cos: 0.7405 | train_success: 0.5258 | val_mse: 1.4084 | val_l1: 0.9141 | val_cos: 0.6707 | val_success: 0.0005
Epoch 037 | train_loss: 0.9571 | train_l1: 0.7372 | train_cos: 0.7388 | train_success: 0.5169 | val_mse: 1.4033 | val_l1: 0.9122 | val_cos: 0.6715 | val_success: 0.0010
Epoch 038 | train_loss: 0.9381 | train_l1: 0.7302 | train_cos: 0.7425 | train_success: 0.5335 | val_mse: 1.4012 | val_l1: 0.9115 | val_cos: 0.6718 | val_success: 0.0020
Epoch 039 | train_loss: 0.9369 | train_l1: 0.7297 | train_cos: 0.7433 | train_success: 0.5305 | val_mse: 1.3966 | val_l1: 0.9097 | val_cos: 0.6724 | val_success: 0.0025
Epoch 040 | train_loss: 0.9375 | train_l1: 0.7301 | train_cos: 0.7419 | train_success: 0.5258 | val_mse: 1.3938 | val_l1: 0.9086 | val_cos: 0.6729 | val_success: 0.0035
Epoch 041 | train_loss: 0.9497 | train_l1: 0.7346 | train_cos: 0.7398 | train_success: 0.5152 | val_mse: 1.3894 | val_l1: 0.9072 | val_cos: 0.6735 | val_success: 0.0054
Epoch 042 | train_loss: 0.9313 | train_l1: 0.7278 | train_cos: 0.7436 | train_success: 0.5349 | val_mse: 1.3863 | val_l1: 0.9062 | val_cos: 0.6739 | val_success: 0.0054
Epoch 043 | train_loss: 0.9303 | train_l1: 0.7281 | train_cos: 0.7436 | train_success: 0.5403 | val_mse: 1.3834 | val_l1: 0.9050 | val_cos: 0.6744 | val_success: 0.0054
Epoch 044 | train_loss: 0.9333 | train_l1: 0.7289 | train_cos: 0.7429 | train_success: 0.5308 | val_mse: 1.3795 | val_l1: 0.9036 | val_cos: 0.6749 | val_success: 0.0059
Epoch 045 | train_loss: 0.9292 | train_l1: 0.7275 | train_cos: 0.7435 | train_success: 0.5338 | val_mse: 1.3766 | val_l1: 0.9025 | val_cos: 0.6755 | val_success: 0.0093
Epoch 046 | train_loss: 0.9280 | train_l1: 0.7263 | train_cos: 0.7429 | train_success: 0.5414 | val_mse: 1.3750 | val_l1: 0.9020 | val_cos: 0.6757 | val_success: 0.0113
Epoch 047 | train_loss: 0.9275 | train_l1: 0.7274 | train_cos: 0.7431 | train_success: 0.5295 | val_mse: 1.3717 | val_l1: 0.9008 | val_cos: 0.6762 | val_success: 0.0137
Epoch 048 | train_loss: 0.9176 | train_l1: 0.7232 | train_cos: 0.7451 | train_success: 0.5515 | val_mse: 1.3701 | val_l1: 0.9002 | val_cos: 0.6765 | val_success: 0.0142
Epoch 049 | train_loss: 0.9206 | train_l1: 0.7243 | train_cos: 0.7444 | train_success: 0.5491 | val_mse: 1.3675 | val_l1: 0.8992 | val_cos: 0.6769 | val_success: 0.0157
Epoch 050 | train_loss: 0.9256 | train_l1: 0.7259 | train_cos: 0.7437 | train_success: 0.5425 | val_mse: 1.3675 | val_l1: 0.8991 | val_cos: 0.6769 | val_success: 0.0191
Epoch 051 | train_loss: 0.9094 | train_l1: 0.7204 | train_cos: 0.7470 | train_success: 0.5594 | val_mse: 1.3650 | val_l1: 0.8983 | val_cos: 0.6773 | val_success: 0.0191
Epoch 052 | train_loss: 0.9059 | train_l1: 0.7190 | train_cos: 0.7474 | train_success: 0.5664 | val_mse: 1.3625 | val_l1: 0.8974 | val_cos: 0.6777 | val_success: 0.0206
Epoch 053 | train_loss: 0.9224 | train_l1: 0.7246 | train_cos: 0.7437 | train_success: 0.5524 | val_mse: 1.3578 | val_l1: 0.8960 | val_cos: 0.6783 | val_success: 0.0225
Epoch 054 | train_loss: 0.9142 | train_l1: 0.7222 | train_cos: 0.7448 | train_success: 0.5638 | val_mse: 1.3556 | val_l1: 0.8952 | val_cos: 0.6787 | val_success: 0.0250
Epoch 055 | train_loss: 0.9053 | train_l1: 0.7186 | train_cos: 0.7470 | train_success: 0.5726 | val_mse: 1.3568 | val_l1: 0.8953 | val_cos: 0.6786 | val_success: 0.0279
Epoch 056 | train_loss: 0.9065 | train_l1: 0.7192 | train_cos: 0.7471 | train_success: 0.5703 | val_mse: 1.3553 | val_l1: 0.8948 | val_cos: 0.6789 | val_success: 0.0304
Epoch 057 | train_loss: 0.9094 | train_l1: 0.7205 | train_cos: 0.7454 | train_success: 0.5604 | val_mse: 1.3538 | val_l1: 0.8941 | val_cos: 0.6793 | val_success: 0.0333
