Loading data...
Epoch 001 | train_loss: 0.5960 | train_refine_l1: 0.4699 | train_initial_mse: 1.2617 | train_initial_l1: 0.8622 | val_loss: 0.7934 | val_refine_l1: 0.6989 | val_initial_mse: 0.9447 | val_initial_l1: 0.7560
Epoch 002 | train_loss: 0.4076 | train_refine_l1: 0.3339 | train_initial_mse: 0.7373 | train_initial_l1: 0.6667 | val_loss: 0.6844 | val_refine_l1: 0.5968 | val_initial_mse: 0.8755 | val_initial_l1: 0.7323
Epoch 003 | train_loss: 0.3248 | train_refine_l1: 0.2633 | train_initial_mse: 0.6144 | train_initial_l1: 0.6085 | val_loss: 0.6073 | val_refine_l1: 0.5183 | val_initial_mse: 0.8904 | val_initial_l1: 0.7405
Epoch 004 | train_loss: 0.2740 | train_refine_l1: 0.2172 | train_initial_mse: 0.5673 | train_initial_l1: 0.5852 | val_loss: 0.5514 | val_refine_l1: 0.4641 | val_initial_mse: 0.8726 | val_initial_l1: 0.7331
Epoch 005 | train_loss: 0.2428 | train_refine_l1: 0.1889 | train_initial_mse: 0.5392 | train_initial_l1: 0.5716 | val_loss: 0.5193 | val_refine_l1: 0.4352 | val_initial_mse: 0.8412 | val_initial_l1: 0.7198
Epoch 006 | train_loss: 0.2207 | train_refine_l1: 0.1691 | train_initial_mse: 0.5160 | train_initial_l1: 0.5601 | val_loss: 0.4981 | val_refine_l1: 0.4163 | val_initial_mse: 0.8172 | val_initial_l1: 0.7092
Epoch 007 | train_loss: 0.2075 | train_refine_l1: 0.1579 | train_initial_mse: 0.4957 | train_initial_l1: 0.5494 | val_loss: 0.4794 | val_refine_l1: 0.3988 | val_initial_mse: 0.8059 | val_initial_l1: 0.7042
Epoch 008 | train_loss: 0.1918 | train_refine_l1: 0.1440 | train_initial_mse: 0.4784 | train_initial_l1: 0.5400 | val_loss: 0.4679 | val_refine_l1: 0.3892 | val_initial_mse: 0.7873 | val_initial_l1: 0.6960
Epoch 009 | train_loss: 0.1855 | train_refine_l1: 0.1392 | train_initial_mse: 0.4630 | train_initial_l1: 0.5314 | val_loss: 0.4628 | val_refine_l1: 0.3848 | val_initial_mse: 0.7800 | val_initial_l1: 0.6932
Epoch 010 | train_loss: 0.1760 | train_refine_l1: 0.1310 | train_initial_mse: 0.4503 | train_initial_l1: 0.5241 | val_loss: 0.4556 | val_refine_l1: 0.3783 | val_initial_mse: 0.7729 | val_initial_l1: 0.6898 | val_sample_l1: 0.5065
Epoch 011 | train_loss: 0.1658 | train_refine_l1: 0.1219 | train_initial_mse: 0.4386 | train_initial_l1: 0.5172 | val_loss: 0.4498 | val_refine_l1: 0.3730 | val_initial_mse: 0.7688 | val_initial_l1: 0.6881
Epoch 012 | train_loss: 0.1613 | train_refine_l1: 0.1185 | train_initial_mse: 0.4278 | train_initial_l1: 0.5108 | val_loss: 0.4416 | val_refine_l1: 0.3660 | val_initial_mse: 0.7562 | val_initial_l1: 0.6825
Epoch 013 | train_loss: 0.1546 | train_refine_l1: 0.1127 | train_initial_mse: 0.4188 | train_initial_l1: 0.5053 | val_loss: 0.4351 | val_refine_l1: 0.3596 | val_initial_mse: 0.7544 | val_initial_l1: 0.6814
Epoch 014 | train_loss: 0.1484 | train_refine_l1: 0.1073 | train_initial_mse: 0.4106 | train_initial_l1: 0.5003 | val_loss: 0.4385 | val_refine_l1: 0.3635 | val_initial_mse: 0.7507 | val_initial_l1: 0.6798
Epoch 015 | train_loss: 0.1478 | train_refine_l1: 0.1074 | train_initial_mse: 0.4035 | train_initial_l1: 0.4960 | val_loss: 0.4383 | val_refine_l1: 0.3630 | val_initial_mse: 0.7537 | val_initial_l1: 0.6811
Epoch 016 | train_loss: 0.1446 | train_refine_l1: 0.1049 | train_initial_mse: 0.3971 | train_initial_l1: 0.4919 | val_loss: 0.4358 | val_refine_l1: 0.3604 | val_initial_mse: 0.7544 | val_initial_l1: 0.6814
Epoch 017 | train_loss: 0.1401 | train_refine_l1: 0.1010 | train_initial_mse: 0.3911 | train_initial_l1: 0.4881 | val_loss: 0.4354 | val_refine_l1: 0.3606 | val_initial_mse: 0.7487 | val_initial_l1: 0.6787
Epoch 018 | train_loss: 0.1353 | train_refine_l1: 0.0967 | train_initial_mse: 0.3857 | train_initial_l1: 0.4847 | val_loss: 0.4318 | val_refine_l1: 0.3578 | val_initial_mse: 0.7406 | val_initial_l1: 0.6749
Epoch 019 | train_loss: 0.1337 | train_refine_l1: 0.0956 | train_initial_mse: 0.3808 | train_initial_l1: 0.4816 | val_loss: 0.4308 | val_refine_l1: 0.3567 | val_initial_mse: 0.7419 | val_initial_l1: 0.6755
Epoch 020 | train_loss: 0.1298 | train_refine_l1: 0.0922 | train_initial_mse: 0.3760 | train_initial_l1: 0.4785 | val_loss: 0.4314 | val_refine_l1: 0.3574 | val_initial_mse: 0.7393 | val_initial_l1: 0.6742 | val_sample_l1: 0.4935
Epoch 021 | train_loss: 0.1259 | train_refine_l1: 0.0887 | train_initial_mse: 0.3718 | train_initial_l1: 0.4759 | val_loss: 0.4268 | val_refine_l1: 0.3528 | val_initial_mse: 0.7395 | val_initial_l1: 0.6742
Epoch 022 | train_loss: 0.1248 | train_refine_l1: 0.0880 | train_initial_mse: 0.3678 | train_initial_l1: 0.4732 | val_loss: 0.4312 | val_refine_l1: 0.3574 | val_initial_mse: 0.7388 | val_initial_l1: 0.6740
Epoch 023 | train_loss: 0.1219 | train_refine_l1: 0.0855 | train_initial_mse: 0.3638 | train_initial_l1: 0.4706 | val_loss: 0.4284 | val_refine_l1: 0.3547 | val_initial_mse: 0.7372 | val_initial_l1: 0.6731
Epoch 024 | train_loss: 0.1196 | train_refine_l1: 0.0836 | train_initial_mse: 0.3604 | train_initial_l1: 0.4684 | val_loss: 0.4283 | val_refine_l1: 0.3552 | val_initial_mse: 0.7309 | val_initial_l1: 0.6702
Epoch 025 | train_loss: 0.1176 | train_refine_l1: 0.0819 | train_initial_mse: 0.3571 | train_initial_l1: 0.4663 | val_loss: 0.4217 | val_refine_l1: 0.3486 | val_initial_mse: 0.7316 | val_initial_l1: 0.6707
Epoch 026 | train_loss: 0.1154 | train_refine_l1: 0.0800 | train_initial_mse: 0.3536 | train_initial_l1: 0.4640 | val_loss: 0.4260 | val_refine_l1: 0.3529 | val_initial_mse: 0.7314 | val_initial_l1: 0.6704
Epoch 027 | train_loss: 0.1144 | train_refine_l1: 0.0794 | train_initial_mse: 0.3506 | train_initial_l1: 0.4620 | val_loss: 0.4238 | val_refine_l1: 0.3510 | val_initial_mse: 0.7281 | val_initial_l1: 0.6688
Epoch 028 | train_loss: 0.1136 | train_refine_l1: 0.0788 | train_initial_mse: 0.3477 | train_initial_l1: 0.4601 | val_loss: 0.4275 | val_refine_l1: 0.3550 | val_initial_mse: 0.7254 | val_initial_l1: 0.6676
Epoch 029 | train_loss: 0.1126 | train_refine_l1: 0.0781 | train_initial_mse: 0.3448 | train_initial_l1: 0.4582 | val_loss: 0.4257 | val_refine_l1: 0.3531 | val_initial_mse: 0.7259 | val_initial_l1: 0.6679
Epoch 030 | train_loss: 0.1078 | train_refine_l1: 0.0736 | train_initial_mse: 0.3423 | train_initial_l1: 0.4564 | val_loss: 0.4183 | val_refine_l1: 0.3458 | val_initial_mse: 0.7247 | val_initial_l1: 0.6672 | val_sample_l1: 0.4934
Epoch 031 | train_loss: 0.1061 | train_refine_l1: 0.0722 | train_initial_mse: 0.3391 | train_initial_l1: 0.4543 | val_loss: 0.4270 | val_refine_l1: 0.3543 | val_initial_mse: 0.7275 | val_initial_l1: 0.6685
Epoch 032 | train_loss: 0.1059 | train_refine_l1: 0.0722 | train_initial_mse: 0.3372 | train_initial_l1: 0.4530 | val_loss: 0.4237 | val_refine_l1: 0.3514 | val_initial_mse: 0.7223 | val_initial_l1: 0.6660
Epoch 033 | train_loss: 0.1043 | train_refine_l1: 0.0709 | train_initial_mse: 0.3344 | train_initial_l1: 0.4511 | val_loss: 0.4235 | val_refine_l1: 0.3507 | val_initial_mse: 0.7279 | val_initial_l1: 0.6687
Epoch 034 | train_loss: 0.1035 | train_refine_l1: 0.0703 | train_initial_mse: 0.3321 | train_initial_l1: 0.4496 | val_loss: 0.4218 | val_refine_l1: 0.3492 | val_initial_mse: 0.7256 | val_initial_l1: 0.6676
Epoch 035 | train_loss: 0.1019 | train_refine_l1: 0.0689 | train_initial_mse: 0.3301 | train_initial_l1: 0.4482 | val_loss: 0.4193 | val_refine_l1: 0.3470 | val_initial_mse: 0.7222 | val_initial_l1: 0.6660
Epoch 036 | train_loss: 0.0997 | train_refine_l1: 0.0669 | train_initial_mse: 0.3279 | train_initial_l1: 0.4466 | val_loss: 0.4239 | val_refine_l1: 0.3518 | val_initial_mse: 0.7211 | val_initial_l1: 0.6655
Epoch 037 | train_loss: 0.0988 | train_refine_l1: 0.0662 | train_initial_mse: 0.3259 | train_initial_l1: 0.4452 | val_loss: 0.4235 | val_refine_l1: 0.3510 | val_initial_mse: 0.7247 | val_initial_l1: 0.6672
Epoch 038 | train_loss: 0.0972 | train_refine_l1: 0.0649 | train_initial_mse: 0.3234 | train_initial_l1: 0.4436 | val_loss: 0.4215 | val_refine_l1: 0.3492 | val_initial_mse: 0.7227 | val_initial_l1: 0.6663
