Epoch 1 | Train Loss: 3.6530 | Val Cheap Loss: 2.1811 | Val Last-T Loss: 2.6416
Epoch 2 | Train Loss: 2.1322 | Val Cheap Loss: 2.1004 | Val Last-T Loss: 2.4906
Epoch 3 | Train Loss: 2.0537 | Val Cheap Loss: 1.9885 | Val Last-T Loss: 2.3193
Epoch 4 | Train Loss: 1.9018 | Val Cheap Loss: 1.8212 | Val Last-T Loss: 2.0844
Epoch 5 | Train Loss: 1.7668 | Val Cheap Loss: 1.7428 | Val Last-T Loss: 2.0189
Epoch 6 | Train Loss: 1.6825 | Val Cheap Loss: 1.6550 | Val Last-T Loss: 1.8629
Epoch 7 | Train Loss: 1.6219 | Val Cheap Loss: 1.6061 | Val Last-T Loss: 1.8077
Epoch 8 | Train Loss: 1.5771 | Val Cheap Loss: 1.5603 | Val Last-T Loss: 1.7527
Epoch 9 | Train Loss: 1.5251 | Val Cheap Loss: 1.5292 | Val Last-T Loss: 1.7756
Epoch 10 | Train Loss: 1.4822 | Val Cheap Loss: 1.4739 | Val Last-T Loss: 1.6525
Epoch 11 | Train Loss: 1.4563 | Val Cheap Loss: 1.4319 | Val Last-T Loss: 1.6230
Epoch 12 | Train Loss: 1.4121 | Val Cheap Loss: 1.4641 | Val Last-T Loss: 1.7140
Epoch 13 | Train Loss: 1.3808 | Val Cheap Loss: 1.4475 | Val Last-T Loss: 1.7449
Epoch 14 | Train Loss: 1.3663 | Val Cheap Loss: 1.3730 | Val Last-T Loss: 1.5905
Epoch 15 | Train Loss: 1.3313 | Val Cheap Loss: 1.3545 | Val Last-T Loss: 1.6219
Epoch 16 | Train Loss: 1.3104 | Val Cheap Loss: 1.3267 | Val Last-T Loss: 1.5473
Epoch 17 | Train Loss: 1.2968 | Val Cheap Loss: 1.3492 | Val Last-T Loss: 1.6386
Epoch 18 | Train Loss: 1.2795 | Val Cheap Loss: 1.3493 | Val Last-T Loss: 1.6627
Epoch 19 | Train Loss: 1.2686 | Val Cheap Loss: 1.3198 | Val Last-T Loss: 1.6178
Epoch 20 | Train Loss: 1.2637 | Val Cheap Loss: 1.3099 | Val Last-T Loss: 1.5645
Epoch 21 | Train Loss: 1.2438 | Val Cheap Loss: 1.2816 | Val Last-T Loss: 1.5577
Epoch 22 | Train Loss: 1.2354 | Val Cheap Loss: 1.2840 | Val Last-T Loss: 1.5776
Epoch 23 | Train Loss: 1.2264 | Val Cheap Loss: 1.2682 | Val Last-T Loss: 1.5426
Epoch 24 | Train Loss: 1.2245 | Val Cheap Loss: 1.2691 | Val Last-T Loss: 1.5415
Epoch 25 | Train Loss: 1.2159 | Val Cheap Loss: 1.2621 | Val Last-T Loss: 1.5425 | Val TACOs L1: 1.3091
