Loading datasets into memory...
Epoch 1 | Train Loss: 0.8006 | Val Loss: 0.7086 
Epoch 2 | Train Loss: 0.6914 | Val Loss: 0.6403 
Epoch 3 | Train Loss: 0.6312 | Val Loss: 0.5965 
Epoch 4 | Train Loss: 0.5819 | Val Loss: 0.5448 
Epoch 5 | Train Loss: 0.5435 | Val Loss: 0.5191 
Epoch 6 | Train Loss: 0.5132 | Val Loss: 0.4897 
Epoch 7 | Train Loss: 0.4907 | Val Loss: 0.4839 
Epoch 8 | Train Loss: 0.4721 | Val Loss: 0.4487 
Epoch 9 | Train Loss: 0.4542 | Val Loss: 0.4364 
Epoch 10 | Train Loss: 0.4425 | Val Loss: 0.4430 
Epoch 11 | Train Loss: 0.4364 | Val Loss: 0.4298 
Epoch 12 | Train Loss: 0.4215 | Val Loss: 0.4389 
Epoch 13 | Train Loss: 0.4112 | Val Loss: 0.3950 
Epoch 14 | Train Loss: 0.4045 | Val Loss: 0.3890 
Epoch 15 | Train Loss: 0.3942 | Val Loss: 0.3844 
Epoch 16 | Train Loss: 0.3848 | Val Loss: 0.3665 
Epoch 17 | Train Loss: 0.3785 | Val Loss: 0.3661 
Epoch 18 | Train Loss: 0.3690 | Val Loss: 0.3718 
Epoch 19 | Train Loss: 0.3608 | Val Loss: 0.3611 
Epoch 20 | Train Loss: 0.3501 | Val Loss: 0.3592 
Epoch 21 | Train Loss: 0.3400 | Val Loss: 0.3340 
Epoch 22 | Train Loss: 0.3381 | Val Loss: 0.3461 
Epoch 23 | Train Loss: 0.3285 | Val Loss: 0.3282 
Epoch 24 | Train Loss: 0.3187 | Val Loss: 0.3252 
Epoch 25 | Train Loss: 0.3187 | Val Loss: 0.3248 | Sample L1: 0.3368
Epoch 26 | Train Loss: 0.3066 | Val Loss: 0.3187 
Epoch 27 | Train Loss: 0.3064 | Val Loss: 0.2932 
Epoch 28 | Train Loss: 0.3012 | Val Loss: 0.2912 
Epoch 29 | Train Loss: 0.2905 | Val Loss: 0.2973 
Epoch 30 | Train Loss: 0.2854 | Val Loss: 0.2856 
Epoch 31 | Train Loss: 0.2758 | Val Loss: 0.2749 
Epoch 32 | Train Loss: 0.2740 | Val Loss: 0.2804 
Epoch 33 | Train Loss: 0.2677 | Val Loss: 0.2787 
Epoch 34 | Train Loss: 0.2817 | Val Loss: 0.2691 
Epoch 35 | Train Loss: 0.2643 | Val Loss: 0.2612 
Epoch 36 | Train Loss: 0.2587 | Val Loss: 0.2601 
Epoch 37 | Train Loss: 0.2549 | Val Loss: 0.2576 
Epoch 38 | Train Loss: 0.2468 | Val Loss: 0.2538 
Epoch 39 | Train Loss: 0.2442 | Val Loss: 0.2566 
Epoch 40 | Train Loss: 0.2374 | Val Loss: 0.2370 
Epoch 41 | Train Loss: 0.2346 | Val Loss: 0.2420 
Epoch 42 | Train Loss: 0.2351 | Val Loss: 0.2537 
Epoch 43 | Train Loss: 0.2424 | Val Loss: 0.2409 
Epoch 44 | Train Loss: 0.2278 | Val Loss: 0.2242 
Epoch 45 | Train Loss: 0.2255 | Val Loss: 0.2226 
Epoch 46 | Train Loss: 0.2229 | Val Loss: 0.2286 
Epoch 47 | Train Loss: 0.2159 | Val Loss: 0.2167 
Epoch 48 | Train Loss: 0.2132 | Val Loss: 0.2178 
Epoch 49 | Train Loss: 0.2103 | Val Loss: 0.2097 
Epoch 50 | Train Loss: 0.2070 | Val Loss: 0.2066 | Sample L1: 0.2553
Epoch 51 | Train Loss: 0.2036 | Val Loss: 0.2090 
Epoch 52 | Train Loss: 0.2024 | Val Loss: 0.2123 
Epoch 53 | Train Loss: 0.2121 | Val Loss: 0.2149 
Epoch 54 | Train Loss: 0.2036 | Val Loss: 0.2045 
Epoch 55 | Train Loss: 0.2007 | Val Loss: 0.2048 
Epoch 56 | Train Loss: 0.1933 | Val Loss: 0.1965 
Epoch 57 | Train Loss: 0.1940 | Val Loss: 0.1893 
Epoch 58 | Train Loss: 0.1906 | Val Loss: 0.1858 
Epoch 59 | Train Loss: 0.1850 | Val Loss: 0.1891 
Epoch 60 | Train Loss: 0.1816 | Val Loss: 0.1980 
Epoch 61 | Train Loss: 0.1841 | Val Loss: 0.1897 
Epoch 62 | Train Loss: 0.1806 | Val Loss: 0.1867 
Epoch 63 | Train Loss: 0.1767 | Val Loss: 0.1807 
Epoch 64 | Train Loss: 0.1739 | Val Loss: 0.1749 
Epoch 65 | Train Loss: 0.1715 | Val Loss: 0.1738 
Epoch 66 | Train Loss: 0.1706 | Val Loss: 0.1767 
Epoch 67 | Train Loss: 0.1724 | Val Loss: 0.1808 
Epoch 68 | Train Loss: 0.1756 | Val Loss: 0.1767 
Epoch 69 | Train Loss: 0.1694 | Val Loss: 0.1727 
Epoch 70 | Train Loss: 0.1647 | Val Loss: 0.1729 
Epoch 71 | Train Loss: 0.1632 | Val Loss: 0.1752 
Epoch 72 | Train Loss: 0.1614 | Val Loss: 0.1661 
Epoch 73 | Train Loss: 0.1606 | Val Loss: 0.1677 
Epoch 74 | Train Loss: 0.1592 | Val Loss: 0.1633 
Epoch 75 | Train Loss: 0.1579 | Val Loss: 0.1673 | Sample L1: 0.2268
Epoch 76 | Train Loss: 0.1599 | Val Loss: 0.1697 
Epoch 77 | Train Loss: 0.1598 | Val Loss: 0.1667 
Epoch 78 | Train Loss: 0.1569 | Val Loss: 0.1610 
Epoch 79 | Train Loss: 0.1558 | Val Loss: 0.1596 
Epoch 80 | Train Loss: 0.1550 | Val Loss: 0.1614 
Epoch 81 | Train Loss: 0.1485 | Val Loss: 0.1577 
Epoch 82 | Train Loss: 0.1474 | Val Loss: 0.1494 
Epoch 83 | Train Loss: 0.1450 | Val Loss: 0.1478 
Epoch 84 | Train Loss: 0.1422 | Val Loss: 0.1522 
Epoch 85 | Train Loss: 0.1425 | Val Loss: 0.1526 
Epoch 86 | Train Loss: 0.1419 | Val Loss: 0.1488 
Epoch 87 | Train Loss: 0.1480 | Val Loss: 0.1550 
Epoch 88 | Train Loss: 0.1483 | Val Loss: 0.1549 
Epoch 89 | Train Loss: 0.1455 | Val Loss: 0.1515 
Epoch 90 | Train Loss: 0.1452 | Val Loss: 0.1500 
Epoch 91 | Train Loss: 0.1412 | Val Loss: 0.1465 
Epoch 92 | Train Loss: 0.1378 | Val Loss: 0.1476 
Epoch 93 | Train Loss: 0.1363 | Val Loss: 0.1433 
Epoch 94 | Train Loss: 0.1358 | Val Loss: 0.1447 
Epoch 95 | Train Loss: 0.1338 | Val Loss: 0.1360 
Epoch 96 | Train Loss: 0.1340 | Val Loss: 0.1460 
Epoch 97 | Train Loss: 0.1382 | Val Loss: 0.1479 
Epoch 98 | Train Loss: 0.1356 | Val Loss: 0.1364 
Epoch 99 | Train Loss: 0.1323 | Val Loss: 0.1404 
Epoch 100 | Train Loss: 0.1345 | Val Loss: 0.1468 | Sample L1: 0.2219
Epoch 101 | Train Loss: 0.1370 | Val Loss: 0.1396 
Epoch 102 | Train Loss: 0.1300 | Val Loss: 0.1317 
Epoch 103 | Train Loss: 0.1292 | Val Loss: 0.1391 
Epoch 104 | Train Loss: 0.1248 | Val Loss: 0.1325 
Epoch 105 | Train Loss: 0.1267 | Val Loss: 0.1381 
Epoch 106 | Train Loss: 0.1247 | Val Loss: 0.1296 
