Loading data...
Epoch 1 | Train Loss: 0.4744 | Val Loss: 0.6511 | Sample L1: 0.6810
Epoch 2 | Train Loss: 0.2452 | Val Loss: 0.4721 | Sample L1: 0.5992
Epoch 3 | Train Loss: 0.1521 | Val Loss: 0.3338 | Sample L1: 0.5440
Epoch 4 | Train Loss: 0.1085 | Val Loss: 0.2918 | Sample L1: 0.5204
Epoch 5 | Train Loss: 0.0838 | Val Loss: 0.2689 | Sample L1: 0.5089
Epoch 6 | Train Loss: 0.0706 | Val Loss: 0.2505 | Sample L1: 0.4991
Epoch 7 | Train Loss: 0.0616 | Val Loss: 0.2215 | Sample L1: 0.4970
Epoch 8 | Train Loss: 0.0537 | Val Loss: 0.2292 | Sample L1: 0.4949
Epoch 9 | Train Loss: 0.0503 | Val Loss: 0.2407 | Sample L1: 0.4928
Epoch 10 | Train Loss: 0.0443 | Val Loss: 0.2090 | Sample L1: 0.4859
Epoch 11 | Train Loss: 0.0410 | Val Loss: 0.2027 | Sample L1: 0.4919
Epoch 12 | Train Loss: 0.0379 | Val Loss: 0.2134 | Sample L1: 0.4827
Epoch 13 | Train Loss: 0.0356 | Val Loss: 0.2083 | Sample L1: 0.4896
Epoch 14 | Train Loss: 0.0330 | Val Loss: 0.2437 | Sample L1: 0.4892
Epoch 15 | Train Loss: 0.0304 | Val Loss: 0.2011 | Sample L1: 0.4904
Epoch 16 | Train Loss: 0.0290 | Val Loss: 0.2038 | Sample L1: 0.4917
Epoch 17 | Train Loss: 0.0268 | Val Loss: 0.2140 | Sample L1: 0.4910
Epoch 18 | Train Loss: 0.0255 | Val Loss: 0.2218 | Sample L1: 0.4860
Epoch 19 | Train Loss: 0.0251 | Val Loss: 0.2083 | Sample L1: 0.4942
Epoch 20 | Train Loss: 0.0232 | Val Loss: 0.2061 | Sample L1: 0.4896
Epoch 21 | Train Loss: 0.0223 | Val Loss: 0.2016 | Sample L1: 0.4838
Epoch 22 | Train Loss: 0.0208 | Val Loss: 0.2128 | Sample L1: 0.4883
Epoch 23 | Train Loss: 0.0197 | Val Loss: 0.2042 | Sample L1: 0.4827
Epoch 24 | Train Loss: 0.0186 | Val Loss: 0.2214 | Sample L1: 0.4884
Epoch 25 | Train Loss: 0.0178 | Val Loss: 0.1985 | Sample L1: 0.4835
Epoch 26 | Train Loss: 0.0173 | Val Loss: 0.2108 | Sample L1: 0.4845
Epoch 27 | Train Loss: 0.0168 | Val Loss: 0.2103 | Sample L1: 0.4831
Epoch 28 | Train Loss: 0.0161 | Val Loss: 0.2214 | Sample L1: 0.4847
Epoch 29 | Train Loss: 0.0152 | Val Loss: 0.2108 | Sample L1: 0.4882
Epoch 30 | Train Loss: 0.0150 | Val Loss: 0.2038 | Sample L1: 0.4880
Epoch 31 | Train Loss: 0.0141 | Val Loss: 0.2100 | Sample L1: 0.4831
Epoch 32 | Train Loss: 0.0133 | Val Loss: 0.2207 | Sample L1: 0.4875
Epoch 33 | Train Loss: 0.0132 | Val Loss: 0.1950 | Sample L1: 0.4836
Epoch 34 | Train Loss: 0.0130 | Val Loss: 0.2376 | Sample L1: 0.4822
Epoch 35 | Train Loss: 0.0127 | Val Loss: 0.2114 | Sample L1: 0.4831
Epoch 36 | Train Loss: 0.0119 | Val Loss: 0.2021 | Sample L1: 0.4852
Epoch 37 | Train Loss: 0.0118 | Val Loss: 0.2345 | Sample L1: 0.4846
Epoch 38 | Train Loss: 0.0115 | Val Loss: 0.2110 | Sample L1: 0.4841
Epoch 39 | Train Loss: 0.0113 | Val Loss: 0.2047 | Sample L1: 0.4848
Epoch 40 | Train Loss: 0.0104 | Val Loss: 0.2106 | Sample L1: 0.4816
Epoch 41 | Train Loss: 0.0100 | Val Loss: 0.2181 | Sample L1: 0.4867
Epoch 42 | Train Loss: 0.0097 | Val Loss: 0.1830 | Sample L1: 0.4846
Epoch 43 | Train Loss: 0.0095 | Val Loss: 0.1923 | Sample L1: 0.4842
Epoch 44 | Train Loss: 0.0093 | Val Loss: 0.2072 | Sample L1: 0.4859
Epoch 45 | Train Loss: 0.0089 | Val Loss: 0.2082 | Sample L1: 0.4811
Epoch 46 | Train Loss: 0.0091 | Val Loss: 0.2291 | Sample L1: 0.4856
Epoch 47 | Train Loss: 0.0088 | Val Loss: 0.2071 | Sample L1: 0.4841
Epoch 48 | Train Loss: 0.0087 | Val Loss: 0.2099 | Sample L1: 0.4818
Epoch 49 | Train Loss: 0.0086 | Val Loss: 0.1918 | Sample L1: 0.4844
Epoch 50 | Train Loss: 0.0080 | Val Loss: 0.2053 | Sample L1: 0.4826
Epoch 51 | Train Loss: 0.0079 | Val Loss: 0.1918 | Sample L1: 0.4825
Epoch 52 | Train Loss: 0.0081 | Val Loss: 0.1879 | Sample L1: 0.4855
Epoch 53 | Train Loss: 0.0077 | Val Loss: 0.1992 | Sample L1: 0.4835
Epoch 54 | Train Loss: 0.0076 | Val Loss: 0.2218 | Sample L1: 0.4836
Epoch 55 | Train Loss: 0.0077 | Val Loss: 0.2104 | Sample L1: 0.4841
Epoch 56 | Train Loss: 0.0072 | Val Loss: 0.2251 | Sample L1: 0.4824
Epoch 57 | Train Loss: 0.0070 | Val Loss: 0.1988 | Sample L1: 0.4822
Epoch 58 | Train Loss: 0.0069 | Val Loss: 0.2150 | Sample L1: 0.4841
Epoch 59 | Train Loss: 0.0069 | Val Loss: 0.2005 | Sample L1: 0.4822
Epoch 60 | Train Loss: 0.0068 | Val Loss: 0.1992 | Sample L1: 0.4847
Epoch 61 | Train Loss: 0.0067 | Val Loss: 0.2035 | Sample L1: 0.4816
Epoch 62 | Train Loss: 0.0065 | Val Loss: 0.2124 | Sample L1: 0.4803
Early stopping triggered.
