Loading data...
Epoch 1 | Train Loss: 0.4881 | Val Loss: 0.6979 | Sample L1: 0.6913
Epoch 2 | Train Loss: 0.2475 | Val Loss: 0.4577 | Sample L1: 0.5885
Epoch 3 | Train Loss: 0.1478 | Val Loss: 0.3338 | Sample L1: 0.5373
Epoch 4 | Train Loss: 0.1039 | Val Loss: 0.2827 | Sample L1: 0.5142
Epoch 5 | Train Loss: 0.0795 | Val Loss: 0.2568 | Sample L1: 0.5053
Epoch 6 | Train Loss: 0.0670 | Val Loss: 0.2416 | Sample L1: 0.5028
Epoch 7 | Train Loss: 0.0567 | Val Loss: 0.2271 | Sample L1: 0.4895
Epoch 8 | Train Loss: 0.0500 | Val Loss: 0.2211 | Sample L1: 0.4897
Epoch 9 | Train Loss: 0.0441 | Val Loss: 0.2241 | Sample L1: 0.4926
Epoch 10 | Train Loss: 0.0419 | Val Loss: 0.2162 | Sample L1: 0.4898
Epoch 11 | Train Loss: 0.0381 | Val Loss: 0.2128 | Sample L1: 0.4909
Epoch 12 | Train Loss: 0.0348 | Val Loss: 0.2089 | Sample L1: 0.4951
Epoch 13 | Train Loss: 0.0319 | Val Loss: 0.2112 | Sample L1: 0.4947
Epoch 14 | Train Loss: 0.0299 | Val Loss: 0.2075 | Sample L1: 0.4892
Epoch 15 | Train Loss: 0.0276 | Val Loss: 0.2007 | Sample L1: 0.4894
Epoch 16 | Train Loss: 0.0256 | Val Loss: 0.2045 | Sample L1: 0.4890
Epoch 17 | Train Loss: 0.0249 | Val Loss: 0.2004 | Sample L1: 0.4918
Epoch 18 | Train Loss: 0.0227 | Val Loss: 0.2011 | Sample L1: 0.4922
Epoch 19 | Train Loss: 0.0212 | Val Loss: 0.2037 | Sample L1: 0.4908
Epoch 20 | Train Loss: 0.0206 | Val Loss: 0.2040 | Sample L1: 0.4919
Epoch 21 | Train Loss: 0.0199 | Val Loss: 0.2082 | Sample L1: 0.4970
Epoch 22 | Train Loss: 0.0186 | Val Loss: 0.1991 | Sample L1: 0.4885
Epoch 23 | Train Loss: 0.0176 | Val Loss: 0.2062 | Sample L1: 0.4938
Epoch 24 | Train Loss: 0.0170 | Val Loss: 0.2048 | Sample L1: 0.4877
Epoch 25 | Train Loss: 0.0161 | Val Loss: 0.2048 | Sample L1: 0.4896
Epoch 26 | Train Loss: 0.0153 | Val Loss: 0.2096 | Sample L1: 0.4909
Epoch 27 | Train Loss: 0.0148 | Val Loss: 0.2054 | Sample L1: 0.4966
Epoch 28 | Train Loss: 0.0141 | Val Loss: 0.2042 | Sample L1: 0.4894
Epoch 29 | Train Loss: 0.0134 | Val Loss: 0.2039 | Sample L1: 0.4909
Epoch 30 | Train Loss: 0.0130 | Val Loss: 0.2010 | Sample L1: 0.4892
Epoch 31 | Train Loss: 0.0126 | Val Loss: 0.2023 | Sample L1: 0.4971
Epoch 32 | Train Loss: 0.0121 | Val Loss: 0.2075 | Sample L1: 0.4888
Epoch 33 | Train Loss: 0.0116 | Val Loss: 0.2075 | Sample L1: 0.4939
Epoch 34 | Train Loss: 0.0114 | Val Loss: 0.2042 | Sample L1: 0.4941
Epoch 35 | Train Loss: 0.0108 | Val Loss: 0.2002 | Sample L1: 0.4901
Epoch 36 | Train Loss: 0.0103 | Val Loss: 0.1998 | Sample L1: 0.4892
Epoch 37 | Train Loss: 0.0101 | Val Loss: 0.2047 | Sample L1: 0.4915
Epoch 38 | Train Loss: 0.0097 | Val Loss: 0.2076 | Sample L1: 0.4908
Epoch 39 | Train Loss: 0.0098 | Val Loss: 0.2024 | Sample L1: 0.4935
Epoch 40 | Train Loss: 0.0095 | Val Loss: 0.2019 | Sample L1: 0.4850
Epoch 41 | Train Loss: 0.0092 | Val Loss: 0.2031 | Sample L1: 0.4949
Epoch 42 | Train Loss: 0.0088 | Val Loss: 0.2029 | Sample L1: 0.4892
Early stopping triggered.
