Loaded train: 9999 valid rows from 10000 common rows (semantic rows=63000, identity rows=10000)
Loaded val: 7000 valid rows from 7000 common rows (semantic rows=7000, identity rows=7000)

Training identity projector
Dataset root: /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split
Output path:  /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split/identity/identity_projector.pt
Train rows:   9999
Val rows:     7000
Device:       cuda

Epoch 001 | train loss 0.901842 | train cos 0.098158 | val cos 0.158055 | val p05 0.035917 | val top1 0.0500 | saved best
Epoch 002 | train loss 0.752132 | train cos 0.247868 | val cos 0.216612 | val p05 0.082178 | val top1 0.2450 | saved best
Epoch 003 | train loss 0.680937 | train cos 0.319063 | val cos 0.232687 | val p05 0.096603 | val top1 0.3284 | saved best
Epoch 004 | train loss 0.632376 | train cos 0.367624 | val cos 0.235647 | val p05 0.096840 | val top1 0.3579 | saved best
Epoch 005 | train loss 0.590123 | train cos 0.409877 | val cos 0.232688 | val p05 0.092376 | val top1 0.3519
Epoch 006 | train loss 0.551569 | train cos 0.448431 | val cos 0.229448 | val p05 0.087067 | val top1 0.3429
Epoch 007 | train loss 0.515959 | train cos 0.484041 | val cos 0.224257 | val p05 0.082945 | val top1 0.3281
Epoch 008 | train loss 0.484435 | train cos 0.515565 | val cos 0.219952 | val p05 0.078842 | val top1 0.3096
Epoch 009 | train loss 0.456356 | train cos 0.543644 | val cos 0.216024 | val p05 0.072169 | val top1 0.2891
Epoch 010 | train loss 0.432721 | train cos 0.567279 | val cos 0.211780 | val p05 0.071344 | val top1 0.2743
Epoch 011 | train loss 0.410570 | train cos 0.589430 | val cos 0.208488 | val p05 0.066953 | val top1 0.2541
Epoch 012 | train loss 0.391840 | train cos 0.608160 | val cos 0.205320 | val p05 0.062861 | val top1 0.2469
Epoch 013 | train loss 0.374515 | train cos 0.625485 | val cos 0.203327 | val p05 0.060785 | val top1 0.2417
Epoch 014 | train loss 0.359202 | train cos 0.640798 | val cos 0.199387 | val p05 0.055914 | val top1 0.2211
Epoch 015 | train loss 0.345847 | train cos 0.654153 | val cos 0.196739 | val p05 0.054697 | val top1 0.2200
Epoch 016 | train loss 0.332863 | train cos 0.667137 | val cos 0.194516 | val p05 0.052464 | val top1 0.2133
Epoch 017 | train loss 0.322178 | train cos 0.677822 | val cos 0.191813 | val p05 0.049789 | val top1 0.2043
Epoch 018 | train loss 0.311164 | train cos 0.688836 | val cos 0.189631 | val p05 0.047857 | val top1 0.1973
Epoch 019 | train loss 0.301710 | train cos 0.698290 | val cos 0.187293 | val p05 0.045168 | val top1 0.1917
Epoch 020 | train loss 0.292935 | train cos 0.707065 | val cos 0.185624 | val p05 0.041200 | val top1 0.1846
Epoch 021 | train loss 0.285013 | train cos 0.714987 | val cos 0.183590 | val p05 0.041392 | val top1 0.1797
Epoch 022 | train loss 0.277711 | train cos 0.722289 | val cos 0.182155 | val p05 0.039903 | val top1 0.1759
