embedding_index,image_path,filename
0,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000002.jpg,flickr_wild_000002.jpg
1,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000003.jpg,flickr_wild_000003.jpg
2,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000005.jpg,flickr_wild_000005.jpg
3,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000006.jpg,flickr_wild_000006.jpg
4,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000007.jpg,flickr_wild_000007.jpg
5,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000008.jpg,flickr_wild_000008.jpg
6,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000009.jpg,flickr_wild_000009.jpg
7,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000010.jpg,flickr_wild_000010.jpg
8,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000011.jpg,flickr_wild_000011.jpg
9,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000013.jpg,flickr_wild_000013.jpg
10,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000014.jpg,flickr_wild_000014.jpg
11,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000015.jpg,flickr_wild_000015.jpg
12,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000016.jpg,flickr_wild_000016.jpg
13,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000018.jpg,flickr_wild_000018.jpg
14,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000019.jpg,flickr_wild_000019.jpg
15,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000020.jpg,flickr_wild_000020.jpg
16,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000021.jpg,flickr_wild_000021.jpg
17,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000022.jpg,flickr_wild_000022.jpg
18,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000023.jpg,flickr_wild_000023.jpg
19,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000024.jpg,flickr_wild_000024.jpg
20,/nas-ctm01/datasets/public/AFHQ/resized/train/wild/flickr_wild_000025.jpg,flickr_wild_000025.jpg
