embedding_index,image_path,filename,raw_norm
0,/nas-ctm01/datasets/public/ffhq256/00000.png,00000.png,21.055919647216797
1,/nas-ctm01/datasets/public/ffhq256/00001.png,00001.png,21.368497848510742
2,/nas-ctm01/datasets/public/ffhq256/00002.png,00002.png,20.822622299194336
3,/nas-ctm01/datasets/public/ffhq256/00003.png,00003.png,20.896265029907227
4,/nas-ctm01/datasets/public/ffhq256/00004.png,00004.png,19.438919067382812
5,/nas-ctm01/datasets/public/ffhq256/00005.png,00005.png,19.37621307373047
6,/nas-ctm01/datasets/public/ffhq256/00006.png,00006.png,20.58530616760254
7,/nas-ctm01/datasets/public/ffhq256/00007.png,00007.png,21.481693267822266
8,/nas-ctm01/datasets/public/ffhq256/00008.png,00008.png,21.44908905029297
9,/nas-ctm01/datasets/public/ffhq256/00009.png,00009.png,21.718812942504883
10,/nas-ctm01/datasets/public/ffhq256/00010.png,00010.png,21.13734245300293
11,/nas-ctm01/datasets/public/ffhq256/00011.png,00011.png,19.642955780029297
12,/nas-ctm01/datasets/public/ffhq256/00012.png,00012.png,20.297555923461914
13,/nas-ctm01/datasets/public/ffhq256/00013.png,00013.png,20.562458038330078
14,/nas-ctm01/datasets/public/ffhq256/00014.png,00014.png,21.24758529663086
15,/nas-ctm01/datasets/public/ffhq256/00015.png,00015.png,19.571992874145508
16,/nas-ctm01/datasets/public/ffhq256/00016.png,00016.png,21.330732345581055
17,/nas-ctm01/datasets/public/ffhq256/00017.png,00017.png,20.4024715423584
18,/nas-ctm01/datasets/public/ffhq256/00018.png,00018.png,21.57652473449707
19,/nas-ctm01/datasets/public/ffhq256/00019.png,00019.png,21.164037704467773
20,/nas-ctm01/datasets/public/ffhq256/00020.png,00020.png,20.0
21,/nas-ctm01/datasets/public/ffhq256/00021.png,00021.png,20.284040451049805
22,/nas-ctm01/datasets/public/ffhq256/00022.png,00022.png,22.246854782104492
23,/nas-ctm01/datasets/public/ffhq256/00023.png,00023.png,21.317304611206055
