bonafide_stem,times_used_in_morphs
img000184,2
img000270,5
img000446,5
img000650,2
img000663,5
img000679,5
img000836,5
img001448,5
img001522,3
img001584,5
img001598,3
img001621,2
img001636,4
img001972,5
img002164,4
img002266,5
img002514,3
img002650,4
img003217,4
img003626,4
img003712,4
img003741,4
img003761,4
img003764,3
img003861,3
img003864,4
img003997,5
img004004,4
img004152,5
img004302,5
img004774,2
img004845,5
img004962,5
img005078,4
img005182,2
img005258,4
img005437,2
img005623,5
img005893,4
img006201,5
img006284,1
img006350,4
img006830,5
img006928,3
img006972,5
img007033,5
img007360,4
img007459,3
img007560,5
img007761,5
img007787,5
img007848,3
img007879,5
img008070,1
img008196,5
img008243,5
img008415,2
img008542,3
img008740,5
img008757,3
img008761,5
img008918,4
img009454,5
img009751,4
img009759,3
img010065,5
img010193,4
img010203,1
img010219,4
img010221,4
img010525,3
img010704,5
img011162,3
img011389,4
img011595,2
img012026,2
img012304,4
img012367,5
img012398,4
img012422,3
img012448,5
img012504,5
img012520,5
img012592,3
img012633,5
img013191,2
img013818,2
img014121,5
img014146,3
img014199,4
img014497,4
img014539,5
img014710,3
img014744,5
img014865,5
img014981,5
img015144,3
img015670,5
img015702,1
img015892,3
img015955,3
img016271,3
img016278,4
img016448,5
img016523,4
img016595,1
img016726,2
img016797,4
img016800,1
img016812,1
img017127,5
img017325,5
img017464,5
img017522,4
img017873,5
img017915,5
img018103,2
img018198,4
img018247,5
img018332,4
img018507,4
img018603,4
img018739,4
img018757,3
img018805,4
img018860,3
img019064,5
img019159,5
img019324,5
img019342,5
img019465,5
img019551,3
img020577,5
img020660,4
img020994,4
img021032,2
img021237,5
img021290,4
img021360,5
img022524,4
img022606,5
img022787,4
img022864,5
img023009,4
img023167,4
img023266,4
img023372,1
img023394,5
img023705,3
img023727,5
img023889,4
img023976,3
img024016,1
img024139,4
img024163,4
img024923,4
img025148,2
img025184,5
img025290,5
img025373,5
img025420,5
img025476,4
img025579,3
img025777,3
img025914,1
img026304,4
img026432,5
img026576,3
img026651,3
img026781,3
img026889,1
img026965,4
img027152,4
img027191,5
img027485,5
img027492,1
img027620,3
img027805,5
img027821,4
img027982,2
img028272,4
img028313,3
img028431,3
img028630,2
img028638,4
img028657,5
img028872,3
img029033,4
img029237,2
img029333,5
img029386,3
img029396,5
img029621,4
img029639,5
img029812,5
img029896,4
img030071,4
img030097,5
img030169,5
img030308,3
img030353,4
img030362,4
img030552,2
img030789,5
img030943,4
img031043,3
img031363,4
img031634,5
img031737,5
img031749,5
img031765,2
img032314,3
img032598,2
img032612,2
img032793,3
img032921,4
img033026,5
img033251,3
img033492,5
img033568,4
img033668,3
img033790,2
img034006,4
img034072,5
img034260,5
img034376,5
img034429,5
img034445,5
img034558,5
img034732,5
img035202,5
img035361,5
img035560,5
img035672,5
img035897,2
img035920,5
img035933,4
img035941,5
img036183,4
img036306,4
img036325,3
img036640,4
img037044,1
img037202,5
img037586,5
img037980,4
img038026,5
img038084,5
img038389,2
img038407,2
img038490,5
img038519,2
img038560,5
img038741,5
img039014,3
img039337,1
img039538,4
img039772,3
img039799,5
img039811,3
img040136,2
img040310,3
img040381,5
img040473,4
img040682,5
img040997,5
img041187,5
img041190,5
img041337,3
img041355,5
img041358,5
img041691,3
img041776,5
img042037,4
img042144,5
img042329,4
img042378,1
img042434,5
img042465,5
img042917,4
img043073,3
img043077,3
img043265,1
img043369,3
img043402,4
img043412,2
img043429,4
img043566,5
img043682,3
img043765,5
img043873,4
img044257,5
img044878,4
img044925,4
img044974,5
img045044,3
img045093,5
img045176,1
img045258,5
img045507,5
img045595,4
img045751,3
img045775,5
img045793,3
img045853,5
img045901,3
img046175,5
img046209,3
img046470,4
img046494,4
img046545,5
img046560,3
img046856,5
img046891,3
img047387,5
img047395,5
img047517,5
img047896,5
img048038,4
img048354,3
img048870,3
img049000,3
img049344,5
img049376,3
img049449,5
img049531,1
img049535,4
img049624,5
img049653,3
img049843,4
img049856,3
img049949,5
img049979,3
img049988,4
img050265,5
img050337,4
img050636,4
img050688,3
img050715,5
img050772,3
img050973,3
img051014,5
img051392,5
img051608,5
img051871,5
img051940,5
img052254,2
img052258,4
img052332,1
img052335,5
img052345,5
img052520,5
img052559,5
img052562,5
img052578,3
img052579,3
img052911,3
img053152,5
img053162,3
img053211,4
img053355,5
img053573,5
img053641,4
img053703,4
img053749,3
img053829,4
img053911,2
img053942,2
img053969,5
img054223,4
img054318,5
img054336,4
img054553,3444
img054688,4
img054706,4
img054718,5
img054866,5
img054911,4
img055012,3
img055230,5
img055407,4
img055693,4
img055710,5
img055987,3
img056017,4
img056891,5
img057286,4
img057345,5
img057373,5
img057491,3
img057570,5
img057734,5
img057742,4
img058045,4
img058077,5
img058264,5
img058609,5
img058769,2
img058808,3
img058827,2
img058833,2
img058882,1
img058903,4
img058985,4
img059504,5
img059545,4
img059564,5
img059568,4
img059980,5
img060052,5
img060226,3
img060246,5
img060314,5
img060392,4
img060622,3
img061102,3
img061132,5
img061313,5
img061515,4
img061911,2
img062421,5
img062430,4
img062628,2
img062629,5
img062741,3
img062971,5
img063086,5
img063096,3
img063474,5
img063726,5
img063884,3
img063890,5
img063944,5
img064014,4
img064041,1
img064228,3
img064369,4
img064508,4
img064634,3
img064656,3
img064809,5
img064946,4
img065208,5
img065226,3
img065882,5
img065899,3
img065963,4
img066014,5
img066181,3
img066188,5
img066189,4
img066206,3
img066319,1
img066363,5
img066686,5
img066937,5
img067004,4
img067136,4
img067138,4
img067173,4
img067502,3
img067686,4
img067958,4
img067975,3
img068093,5
img068227,5
img068311,5
img068319,4
img068460,5
img068492,4
img068650,4
img068790,4
img068905,4
img068932,4
img068946,5
img069139,3
img069153,5
img069185,4
img069554,5
img069769,3
img069869,4
img069887,4
img070056,5
img070082,5
img070154,4
img070178,5
img070347,5
img070401,4
img070545,5
img070773,1
img070984,5
img071145,5
img071250,5
img071599,5
img071658,5
img071721,5
img071906,5
img071956,3
img072046,4
img072303,4
img072642,3
img072884,5
img073122,5
img073169,3
img073232,2
img073464,4
img073633,3
img073661,5
img073741,5
img074076,5
img074094,3
img074160,4
img074331,3
img074340,5
img074457,4
img074472,4
img074607,3
img074687,4
img074714,4
img074841,3
img075083,5
img075093,4
img075401,5
img075505,5
img075632,5
img075687,4
img075777,4
img076056,3
img076192,4
img076238,3
img076327,3
img076336,4
img076379,4
img076430,5
img076439,5
img076474,1
img076489,4
img076831,2
img076888,4
img077008,5
img077084,5
img077115,5
img077174,4
img077232,4
img077246,3
img077363,3
img077479,5
img077582,1
img078482,5
img078590,4
img078595,5
img078690,5
img078738,4
img079266,5
img079312,5
img079422,3
img079485,3
img079540,4
img079551,4
img080278,5
img080978,3
img081351,4
img081358,3
img081730,5
img081849,5
img081856,1
img082058,5
img082424,3
img082433,3
img082446,5
img082608,4
img082710,5
img082898,5
img082939,5
img082945,5
img082977,5
img083066,5
img083285,4
img083369,5
img083438,4
img083517,4
img083572,4
img083915,3
img084274,5
img084515,5
img084779,2
img084806,3
img085199,4
img085396,3
img085439,3
img085453,5
img085469,3
img085572,3
img085582,4
img085860,4
img086170,3
img086739,3
img086794,5
img086882,2
img087025,5
img087167,4
img087211,3
img087416,5
img087440,2
img087497,3
img087545,5
img088294,5
img088375,1
img088597,5
img088718,4
img088914,4
img088972,1
img089036,5
img089133,4
img089495,4
img089721,4
img090360,2
img090952,2
img091098,4
img091145,5
img091222,5
img091268,3
img091279,5
img091316,3
img091333,5
img091513,5
img091569,5
img091901,3
img092002,4
img092130,2
img092251,1
img092287,5
img092721,3
img092789,5
img092824,4
img093333,3
img093362,1
img093505,4
img093689,5
img094012,5
img094316,5
img094420,4
img094534,4
img094761,5
img094846,1
img094909,2
img094916,4
img095190,2
img095412,4
img095610,5
img095716,3
img096042,5
img096202,4
img096244,5
img096291,2
img096653,5
img096804,4
img097035,2
img097053,4
img097054,3
img097062,3
img097180,5
img097246,5
img097329,4
img097401,5
img097493,5
img097610,5
img097684,5
img097962,5
img098143,5
img098324,5
img098444,5
img098649,5
img098916,3
img098958,5
img099044,4
img099085,3
img099198,5
img099208,4
img099545,2173
img099547,2
img099661,2
img099665,5
img099688,1
img099769,5
img099795,3
img099956,5
img100039,4
img100336,3
img100425,2
img100636,3
img100692,3
img100728,5
img100962,5
img100987,5
img101400,4
img101736,3
img101835,5
img102103,4
img102149,4
img102275,3
img102412,4
img102501,3
img102587,4
img102648,1
img102745,1
img102848,3
img102868,4
img103021,5
img103070,4
img103123,3
img103141,5
img103152,5
img103313,4
img103400,5
img103425,5
img103926,5
img104199,4
img104279,3
img104397,3
img104649,4
img104659,3
img105214,2
img105522,1
img105550,3
img105776,5
img105799,5
img105856,5
img105928,5
img105972,3
img106096,5
img106396,5
img106692,1
img106987,5
img107398,2
img107411,5
img107473,5
img107684,4
img107784,4
img107855,4
img107876,3
img108070,1
img108282,5
img108299,5
img108427,5
img108499,5
img108756,5
img108765,5
img108808,5
img108810,4
img108976,3
img109039,4
img109057,4
img109362,5
img109427,4
img109458,3
img109503,5
img110008,5
img110216,2
img110240,3
img110439,5
img110796,4
img110816,3
img110980,1
img110990,2
img111014,4
img111252,4
img111412,5
img111595,4
img112130,3
img112237,5
img112314,4
img112326,5
img112378,4
img112380,2
img112550,3
img112569,4
img112665,5
img112743,5
img112851,2
img112931,5
img113276,5
img113359,2
img113468,2
img113474,5
img113501,5
img113844,4
img113880,3
img114038,5
img114371,2
img114402,4
img114436,5
img114757,4
img114825,5
img115014,5
img115177,4
img115184,5
img115352,4
img115399,2
img115601,2
img115907,2
img115960,5
img116169,5
img116180,4
img116415,4
img116431,4
img116529,4
img116784,5
img117023,5
img117389,1
img117406,5
img117469,4
img117539,4
img117760,5
img117816,4
img118142,4
img118212,3
img118362,4
img118621,5
img118842,5
img119626,5
img119641,4
img119717,3
img119951,5
img120056,4
img120297,4
img120320,5
img120369,2
img120503,5
img120599,5
img120619,4
img120693,4
img120708,5
img120907,4
img120911,2
img121262,5
img121416,4
img121529,1
img121561,2
img121824,3
img122046,5
img122108,4
img122141,1
img122413,5
img122715,4
img122763,4
img122780,4
img122876,4
img123012,1
img123271,4
img123418,2
img123427,4
img123451,4
img123643,4
img123912,5
img123962,5
img124252,5
img124289,5
img124684,2
img124715,4
img124880,3
img125045,4
img125125,3
img125354,4
img125444,4
img125452,4
img125486,5
img125509,3
img125623,3
img125749,5
img125751,1
img125925,2
img125928,4
img125966,4
img126113,3
img126269,4
img126318,3
img126343,3
img126464,4
img126774,3
img127249,3
img127269,4
img127330,4
img127441,5
img127484,5
img127575,4
img127677,5
img127757,2
img127992,5
img128138,3
img128172,3
img128259,5
img128279,5
img128394,4
img128502,2
img128606,3
img128721,5
img129054,3
img129126,4
img129336,1
img129443,5
img129558,4
img129898,2
img130141,4
img130317,4
img130335,3
img130425,3
img130569,4
img130655,4
img130712,4
img130905,3
img131102,5
img131225,5
img131230,4
img131372,3
img131572,5
img131707,4
img131987,4
img132039,3
img132214,5
img132217,5
img132362,2
img132575,5
img132892,5
img132899,3
img132993,4
img133034,5
img133047,4
img133227,1
img133245,4
img133300,5
img133302,3
img133606,3
img133743,4
img133883,2
img134079,4
img134470,3
img134553,5
img134639,5
img134688,5
img134925,4
img135065,5
img135457,5
img135835,5
img135879,5
img136018,5
img136494,5
img136589,3
img136842,5
img136978,5
img137023,2
img137056,2
img137062,5
img137140,2
img137161,4
img137217,5
img137501,5
img137671,4
img137760,5
img137937,4
img137988,5
img138161,4
img138540,3
img138722,5
img138748,5
img138855,3
img138966,3
img139033,5
img139363,2
img139381,3
img139384,5
img139470,4
img139664,4
img139948,5
img140083,3
img140173,3
img140580,2
img140640,4
img140708,5
